rank	run	id	score	scored_loss_val	nmse_val	shape_loss_val	generation	iteration	program_file
1	0703_0358	d421abda-5b63-46a8-8d9d-393015a36787	0.940861276139085	0.06285594418721982	0.05444428324876785	0.08809092700257573	5	51	programs/rank_01_0703_0358_d421abda.py
2	0703_0358	36a63c85-02c0-463e-96af-e9371ded3e64	0.940861276139085	0.06285594418721982	0.05444428324876785	0.08809092700257573	6	44	programs/rank_02_0703_0358_36a63c85.py
3	0703_0358	54c2ce95-87d2-4643-8b05-177b2f45365e	0.940861276139085	0.06285594418721982	0.05444428324876785	0.08809092700257573	7	46	programs/rank_03_0703_0358_54c2ce95.py
4	0703_0358	a27ab71f-b618-45f2-accd-b379898fa219	0.940861276139085	0.06285594418721982	0.05444428324876785	0.08809092700257573	6	44	programs/rank_04_0703_0358_a27ab71f.py
5	0703_0358	aac095e7-52ac-42ab-aa13-f5e44170024f	0.940861276139085	0.06285594418721982	0.05444428324876785	0.08809092700257573	5	51	programs/rank_05_0703_0358_aac095e7.py
6	0703_0358	5ae21eec-7cb6-43fb-984e-d46593252004	0.940861262165012	0.06285595997321036	0.05444441097602656	0.08809060696476181	7	48	programs/rank_06_0703_0358_5ae21eec.py
7	0703_0358	7f345e8a-c2e0-447f-88b2-b9eecf01064d	0.940861262165012	0.06285595997321036	0.05444441097602656	0.08809060696476181	7	48	programs/rank_07_0703_0358_7f345e8a.py
8	0703_0358	9ee00b78-a0a1-492f-85c8-20c2aad769f6	0.940860932832949	0.06285633200751786	0.05444512935052408	0.08808993997849923	6	39	programs/rank_08_0703_0358_9ee00b78.py
9	0703_0358	f1839bb5-816e-40a4-9eaa-3f0f3e21ca9a	0.940860932832949	0.06285633200751786	0.05444512935052408	0.08808993997849923	5	37	programs/rank_09_0703_0358_f1839bb5.py
10	0703_0358	8fe7c712-fe4f-425c-8378-e581ac5425cc	0.940855004170042	0.06286302944429936	0.05445352998047331	0.08809152783577753	7	47	programs/rank_10_0703_0358_8fe7c712.py
