m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3.5uM_M0:0_L0:10000 X	m0:3.5uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2.5uM_M0:0_L0:10000 X	m0:2.5uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y	m0:1.75uM_M0:0_L0:10000 X	m0:1.75uM_M0:0_L0:10000 Y	m0:1.5uM_M0:0_L0:10000 X	m0:1.5uM_M0:0_L0:10000 Y	m0:1.35uM_M0:0_L0:10000 X	m0:1.35uM_M0:0_L0:10000 Y	m0:1.2uM_M0:0_L0:10000 X	m0:1.2uM_M0:0_L0:10000 Y
0	0.003373211	0	0.003442614	0	0.004190983	0	0.007781854	0	0.006214387	0	0.00776592	0	0.014446154	0	0.015828874	0	0.022450852	0	0.016887087
0	0.005184352	0	0.005783955	0	0.004376418	0	0.008755969	0	0.00650796	0	0.008124166	0	0.017766094	0	0.018360317	0	0.033839352	0	0.018746377
0	0.005995393	0	0.005643839	0	0.004839965	0	0.008806254	0	0.007033019	0	0.009021366	0	0.018351422	0	0.019677188	0	0.024678212	0	0.025509033
0	0.006937398	0	0.007102177	0	0.005718228	0	0.012054976	0	0.008619586	0	0.019972205	0	0.018200355	0	0.022601566	0	0.0278648	0.095278	0.001151378
0.095278	-0.006937398	0.095278	-0.007102177	0.095278	-0.005718228	0.095278	-0.012054976	0.095278	-0.008619586	0.095278	-0.009021366	0.095278	-0.000302081	0.095278	-0.003036529	0.095278	0.003741303	0.095278	0.001376994
0.095278	-0.005995393	0.095278	-0.005643839	0.095278	-0.004839965	0.095278	-0.008806254	0.095278	-0.007033019	0.095278	-0.008124166	0.095278	6.36E-05	0.095278	-0.002448503	0.095278	0.007752669	0.095278	0.005593631
0.095278	-0.005184352	0.095278	-0.005783955	0.095278	-0.004376418	0.095278	-0.008755969	0.095278	-0.00650796	0.095278	-0.00776592	0.095278	0.004356421	0.095278	-0.000937855	0.095278	0.007950521	0.19056	-0.011724111
0.095278	-0.003373211	0.095278	-0.003442614	0.095278	-0.004190983	0.095278	-0.007781854	0.095278	-0.006214387	0.095278	0.001367345	0.095278	0.004972325	0.095278	0.001049628	0.095278	0.00875176	0.19056	-0.003389267
0.19056	-0.007787954	0.19056	-0.010602776	0.19056	-0.015579828	0.19056	-0.0192744	0.19056	-0.010610805	0.19056	-0.018042733	0.19056	-0.010070968	0.19056	-0.010359051	0.19056	-0.016552996	0.19056	-0.002632933
0.19056	-0.007008188	0.19056	-0.00750876	0.19056	-0.013852313	0.19056	-0.016401425	0.19056	-0.009062879	0.19056	-0.011724034	0.19056	-0.00642572	0.19056	-0.003715925	0.19056	-0.01296152	0.28583	-0.010577127
0.19056	-0.00444724	0.19056	-0.005953572	0.19056	-0.014124796	0.19056	-0.013957082	0.19056	-0.00641316	0.19056	-0.010015763	0.19056	-0.004563574	0.19056	-0.002801541	0.19056	-0.008061966	0.28583	-0.009875903
0.19056	-0.002394722	0.19056	-0.004534982	0.19056	-0.003482648	0.19056	-0.013401217	0.19056	-0.006118781	0.19056	-0.004684838	0.19056	-0.004176516	0.19056	-0.002253297	0.19056	-0.006907021	0.28583	-0.007308087
0.28583	-0.0062295	0.28583	-0.011205884	0.28583	-0.014042469	0.28583	-0.016175289	0.28583	-0.019504891	0.28583	-0.019640263	0.28583	-0.009366304	0.28583	-0.00785153	0.28583	-0.015295806	0.28583	0.001394031
0.28583	-0.004692944	0.28583	-0.010569117	0.28583	-0.011398612	0.28583	-0.015494023	0.28583	-0.014962331	0.28583	-0.019361646	0.28583	-0.009105653	0.28583	-0.006717688	0.28583	-0.008993517	0.38111	-0.012070466
0.28583	-0.003597236	0.28583	-0.007778984	0.28583	-0.009057282	0.28583	-0.013379699	0.28583	-0.011931261	0.28583	-0.015690554	0.28583	-0.00575032	0.28583	-0.005988709	0.28583	-0.007415285	0.38111	-0.006632585
0.28583	-0.002652219	0.28583	-0.005682184	0.28583	-0.00855905	0.28583	-0.012087508	0.28583	-0.008082012	0.28583	-0.006366	0.28583	-0.003812499	0.28583	-0.002026868	0.28583	-0.007536226	0.38111	-0.005054021
0.38111	-0.002700955	0.38111	-0.006227027	0.38111	-0.017379664	0.38111	-0.017578084	0.38111	-0.018076503	0.38111	-0.019572672	0.38111	-0.00758438	0.38111	-0.01113571	0.38111	-0.02113931	0.38111	-0.002952948
0.38111	7.08E-05	0.38111	-0.006258884	0.38111	-0.012623419	0.38111	-0.015867873	0.38111	-0.01414774	0.38111	-0.018538003	0.38111	-0.006915818	0.38111	-0.008398653	0.38111	-0.012518976	0.47639	-0.016746256
0.38111	0.001941061	0.38111	-0.005545686	0.38111	-0.011645076	0.38111	-0.013326158	0.38111	-0.014101878	0.38111	-0.017679156	0.38111	-0.005535013	0.38111	-0.00676939	0.38111	-0.009903627	0.47639	-0.012619919
0.38111	0.006643423	0.38111	-0.004468778	0.38111	-0.007496547	0.38111	-0.012707698	0.38111	-0.008701871	0.38111	-0.010288712	0.38111	-0.004547526	0.38111	-0.003076324	0.38111	-0.009743219	0.47639	-0.010686732
0.47639	0.018519102	0.47639	-0.002866535	0.47639	-0.015954794	0.47639	-0.020866734	0.47639	-0.014525013	0.47639	-0.023160116	0.47639	-0.009364498	0.47639	-0.014272529	0.47639	-0.017483398	0.47639	0.002892989
0.47639	0.020049436	0.47639	-0.001481023	0.47639	-0.011754201	0.47639	-0.014567121	0.47639	-0.013692828	0.47639	-0.01793677	0.47639	-0.00838611	0.47639	-0.0147538	0.47639	-0.016684391	0.57167	-0.022720877
0.47639	0.027294685	0.47639	-0.000147231	0.47639	-0.004387743	0.47639	-0.012669375	0.47639	-0.008317718	0.47639	-0.013798957	0.47639	-0.007659447	0.47639	-0.0127968	0.47639	-0.018288172	0.57167	-0.017822031
0.47639	0.035536469	0.47639	0.003740533	0.47639	-0.004071971	0.47639	-0.012813613	0.47639	-0.008225057	0.47639	-0.008887743	0.47639	-0.00576656	0.47639	-0.002741423	0.47639	-0.008276498	0.57167	-0.013830463
0.57167	0.067523867	0.57167	0.013228226	0.57167	-0.007480567	0.57167	-0.01362477	0.57167	-0.015071961	0.57167	-0.021193447	0.57167	-0.010874808	0.57167	-0.018709074	0.57167	-0.010433133	0.57167	0.005441218
0.57167	0.075799643	0.57167	0.019658662	0.57167	-0.006064773	0.57167	-0.012789289	0.57167	-0.014245287	0.57167	-0.019619255	0.57167	-0.009965312	0.57167	-0.014303014	0.57167	-0.01043248	0.66694	-0.018218685
0.57167	0.08574651	0.57167	0.019385361	0.57167	0.003797463	0.57167	-0.012429205	0.57167	-0.011129556	0.57167	-0.01899235	0.57167	-0.006559464	0.57167	-0.010136049	0.57167	-0.013652012	0.66694	-0.01393005
0.57167	0.104816065	0.57167	0.028533976	0.57167	0.00471892	0.57167	-0.011174487	0.57167	-0.005364167	0.57167	-0.008215278	0.57167	-0.005978566	0.57167	-0.010049887	0.57167	-0.014352914	0.66694	-0.014235184
0.66694	0.161342677	0.66694	0.050287453	0.66694	0.007803209	0.66694	-0.009567498	0.66694	-0.012380971	0.66694	-0.016734305	0.66694	-0.011272238	0.66694	-0.014816582	0.66694	-0.025094449	0.66694	-0.006775291
0.66694	0.183417937	0.66694	0.061427875	0.66694	0.007930526	0.66694	-0.00634365	0.66694	-0.010639031	0.66694	-0.013558428	0.66694	-0.011506396	0.66694	-0.014122268	0.66694	-0.02168652	0.76222	-0.017006022
