m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y	m0:2uM_M0:0.002_L0:10000 X	m0:2uM_M0:0.002_L0:10000 Y	m0:2uM_M0:0.02_L0:10000 X	m0:2uM_M0:0.02_L0:10000 Y	m0:2uM_M0:0.06_L0:10000 X	m0:2uM_M0:0.06_L0:10000 Y
0	0.015667387	360	-0.026413251	240	-0.00476667	360	0.018737207
0	0.019081313	480	-0.002266666	360	0.009093608	360	0.052202686
120	-0.007389761	600	0.021803506	360	0.029407109	480	0.003532437
120	-0.000927967	720	-0.00182526	480	0.023364462	480	0.00683767
240	-0.004871825	720	0.010876412	480	0.022140685	600	0.019449629
240	0.00965723	720	0.02104012	600	-0.006781124	600	0.025245397
360	-0.017934855	840	-0.004725749	600	0.009710726	600	0.039171131
360	-0.013281522	840	1.25E-02	720	-0.009802806	720	0.035714247
480	-0.039844566	840	0.028909937	720	-0.002168796	720	0.053041704
480	-1.68E-02	960	-0.012201032	720	0.008807949	720	0.058559225
600	-0.028244983	960	0.007342017	840	-0.014263383	840	0.015221793
600	2.83E-03	960	0.035175823	840	-0.001397398	840	4.17E-02
720	-0.02082125	1080	-0.01399561	840	0.005290423	840	0.060007298
720	-0.016022533	1080	-0.004139094	960	-0.043052864	960	-0.005610959
720	0.023736712	1080	-0.00011334	960	-1.12E-02	960	0.022540945
840	-0.043614618	1080	0.033953211	960	0.002140031	960	0.032286875
840	-0.021575223	1200	-0.015054688	960	0.030382112	960	0.038286198
840	0.004854133	1200	0.00376998	1080	-0.004560128	1080	0.021116243
840	3.60E-02	1200	0.004260496	1080	-0.004480484	1080	0.056128504
960	-0.024054288	1200	0.016983463	1080	-0.003687498	1080	0.052119267
960	-0.021358186	1320	-0.007357237	1080	-0.001047752	1080	0.05992685
960	-0.022097205	1320	5.26E-03	1200	-0.017644789	1200	0.03707947
960	-0.016817222	1320	0.006407652	1200	-0.010885588	1200	0.037590887
1080	-0.039680697	1320	1.17E-02	1200	0.036263704	1200	0.053993738
1080	-0.025113096	1440	-0.015461527	1200	0.040700189	1200	0.067382518
1080	-0.021858323	1440	-0.006487926	1320	-0.031636181	1320	0.050500978
1080	-0.007232659	1440	0.017931123	1320	-0.014335328	1320	0.058309515
1200	-0.034740749	1440	0.024477969	1320	0.006384764	1320	0.08917048
1200	-0.029900532	1560	-9.25E-03	1320	0.016029726	1320	0.113988256
1200	-0.026406485	1560	0.009270526	1440	-0.01011419	1440	0.098300795
1200	0.002642513	1560	0.010202563	1440	-0.001601099	1440	0.095223483
1320	-3.61E-02	1560	3.14E-02	1440	0.031085617	1440	0.112834774
1320	-0.01719666	1680	-0.040707156	1440	0.055850195	1440	0.114768103
1320	0.000150254	1680	-0.001908169	1560	0.001765332	1560	0.086575409
1320	2.28E-03	1680	-1.23E-03	1560	0.024675902	1560	0.13007796
1440	-0.054460039	1680	0.013550875	1560	0.050913104	1560	0.130449529
1440	-0.030884012	1800	-0.021028228	1560	0.048976095	1560	0.142527593
1440	-0.002452794	1800	-0.016840626	1680	0.030538459	1680	0.114841303
1440	0.007523907	1800	-0.004935853	1680	0.039177397	1680	0.142072016
1560	-0.03723466	1800	0.025624168	1680	0.053441452	1680	0.165797104
1560	-3.47E-02	1920	-3.26E-02	1680	0.058113084	1680	0.163349777
1560	-0.012329499	1920	-0.014427712	1800	0.027198882	1800	0.158548728
1560	0.020747113	1920	-0.007844833	1800	0.030538459	1800	0.193008715
1680	-5.93E-02	1920	0.014928728	1800	0.063837696	1800	0.192988704
1680	-0.028316036	2040	-0.036455939	1800	0.07199843	1800	0.204705696
1680	0.004377085	2040	-1.15E-02	1920	0.051236848	1920	0.201383795
1680	0.006019125	2040	0.000482107	1920	0.057662483	1920	0.20539726
1800	-0.066581603	2040	0.00919532	1920	5.83E-02	1920	0.240453332
1800	-0.052192751	2160	-0.011150593	1920	0.058904477	1920	0.253517979
1800	-0.020047571	2160	-0.003182983	2040	0.006398352	2040	0.205321331
1800	0.003509799	2160	-0.001808187	2040	0.031078437	2040	0.260358315
1920	-0.065769632	2160	0.015155323	2040	0.054457626	2040	0.258876043
1920	-0.022862968	2280	-0.024111225	2040	0.099553288	2040	0.324391877
1920	-0.014656588	2280	-0.006872904	2160	0.036092521	2160	0.262496282
1920	-0.000772427	2280	0.005182983	2160	0.07357516	2160	0.335734034
2040	-0.045934346	2280	0.013550875	2160	0.097682723	2160	0.302330263
2040	-0.017280715	2400	-0.019606615	2160	0.117304098	2160	0.329509845
2040	-0.015678909	2400	-0.001465253	2280	0.086310499	2280	0.371240882
2040	-0.0099031	2400	0.018059257	2280	0.087538507	2280	0.340020352
2160	-0.05306809	2400	0.039204581	2280	1.31E-01	2280	0.385662912
2160	-0.032140681	2520	-0.03895745	2280	0.129654524	2280	0.379046261
2160	-0.000436872	2520	0.011451485	2400	0.1231833	2400	0.311470841
2160	0.012453688	2520	0.011735779	2400	1.41E-01	2400	0.416518658
2280	-0.0472103	2520	0.017447951	2400	0.137108473	2400	0.402315756
2280	-0.035801413	2640	-0.010439339	2400	0.15596792	2400	0.395880733
2280	-0.006310373	2640	0.014439605	2520	0.137762713	2520	0.395904501
2280	-0.005759323	2640	0.014467834	2520	0.165923037	2520	0.476103861
2400	-0.053012318	2640	0.02223362	2520	1.81E-01	2520	0.442781362
2400	-0.026969029	2760	-0.002067521	2520	0.18639066	2520	4.50E-01
2400	-0.018251541	2760	0.001477146	2640	0.155058882	2640	0.405395695
2400	0.023728409	2760	0.003005848	2640	0.1728613	2640	0.465628743
2520	-0.059621854	2760	0.00718396	2640	0.19182253	2640	5.36E-01
2520	-0.04924231	2880	0.00181004	2640	2.06E-01	2640	0.485510847
2520	-0.005048299	2880	0.028129635	2760	0.207200353	2760	0.518677183
2520	0.019771416	2880	0.042829775	2760	0.220302248	2760	4.62E-01
2640	-0.053938058	2880	0.041823775	2760	2.26E-01	2760	0.532240118
2640	-0.03711272	3000	-0.020238841	2760	0.25988117	2760	0.527942942
2640	-0.023494005	3000	-0.007963536	2880	0.234264543	2880	0.495979648
2640	0.007466792	3000	0.017461527	2880	0.24706174	2880	0.574860011
2760	-0.044136411	3000	0.04358128	2880	0.286274741	2880	0.572705724
2760	-0.034107642	3120	0.02127751	2880	0.268119952	2880	5.84E-01
2760	-0.009271395	3120	0.025811578	3000	2.50E-01	3000	0.599374567
2760	0.012399483	3120	0.040849993	3000	0.300438525	3000	5.41E-01
2880	-0.029681981	3120	0.070555155	3000	0.295899204	3000	0.570144428
2880	-0.024243127	3240	0.007361943	3000	0.296322313	3000	0.635536019
2880	0.009417019	3240	0.045817679	3120	0.312644067	3120	0.661402502
2880	0.019554594	3240	0.057641317	3120	0.330870429	3120	0.596965949
3000	-0.020338918	3240	0.067403483	3120	0.326986524	3120	0.658142054
3000	-0.004813827	3360	0.034082103	3120	0.353230648	3120	0.63402318
3000	-0.001262075	3360	0.05404771	3240	0.330149254	3240	0.638458273
3000	0.024920928	3360	0.063585398	3240	0.341956787	3240	0.592941683
3120	-0.024709942	3360	0.107233512	3240	0.388011184	3240	0.639173452
3120	-0.009859645	3480	0.018010799	3240	0.370857124	3240	0.683483338
3120	-0.000664016	3480	0.041482219	3360	0.376895943	3360	0.673354439
3120	0.006601621	3480	0.044738358	3360	0.400113224	3360	0.646092368
3240	-0.046920311	3480	0.102419477	3360	0.436572732	3360	0.688149352
3240	-0.01088658	3600	0.041833885	3360	0.411218156	3360	0.688831303
3240	-0.006844328	3600	0.088283027	3480	0.426064752	3480	0.76190346
3240	0.014242466	3600	0.094361513	3480	0.449793008	3480	0.725075224
3360	-0.023199165	3600	0.106838577	3480	0.441291082	3480	7.15E-01
3360	-0.020994572	3720	0.089002002	3480	0.49800309	3480	0.75985894
3360	0.002524149	3720	0.091657687	3600	0.432745123	3600	0.694003914
3360	0.041507777	3720	0.094589199	3600	0.440994698	3600	0.808577082
3480	-0.028534973	3720	0.135200759	3600	0.510386285	3600	0.758220014
3480	-0.011214407	3840	0.106929073	3600	0.469565388	3600	0.761473205
3480	-0.002087277	3840	0.11616391	3720	0.488051385	3720	0.723160861
3480	0.001558405	3840	0.143682629	3720	0.531175446	3720	0.846962864
3600	-0.020067278	3840	0.164899556	3720	0.56930763	3720	0.787181482
3600	-0.013399919	3960	0.123467402	3720	0.526545669	3720	0.790837444
3600	-0.005873501	3960	0.127860091	3840	0.492819588	3840	0.732120548
3600	0.021885426	3960	0.127865087	3840	0.572464131	3840	0.848707673
3720	-0.020065729	3960	0.147404417	3840	0.564654098	3840	0.81123559
3720	-0.016007424	4080	0.123740683	3840	0.558633049	3840	0.832731451
3720	-0.004465803	4080	0.130226967	3960	0.55167953	3960	0.772894716
3720	0.01407985	4080	0.18555071	3960	0.550537524	3960	0.914399705
3840	-0.019835286	4080	0.212301721	3960	0.586466044	3960	0.81851055
3840	-0.013509194	4200	0.139914885	3960	0.583166225	3960	0.85853932
3840	-0.001893112	4200	0.194323542	4080	0.584275275	4080	0.887180696
3840	0.027089143	4200	0.204596517	4080	0.644416158	4080	0.793927202
3960	-0.007335124	4200	0.200992561	4080	0.618497645	4080	0.80382843
3960	0.000115996	4320	0.153220756	4080	0.628923117	4080	0.867871349
3960	0.017332173	4320	0.179902506	4200	0.605923865	4200	0.84220827
