m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y
0	0.22806115	0	0.22807343	0	0.23706566	0	0.121657714	0	0.11957891	0	0.12609904	0	0.08658527	0	0.08556729	0	0.08529136	0	0.05632714	0	0.05724152	0	0.05777578	0	0.028626963	0	0.029077915	0	0.028638469	0	0.014178555	0	0.01433133	0	0.013817716	0	0.01455626	0	0.009592535	0	0.009603434	0	-0.000129344	0	-0.000583409	0	-0.000600461
0.22222222	0.23193885	0.22222222	0.23192656	0.22222222	0.22293435	0.22222222	0.13834229	0.22222222	0.14042109	0.22222222	0.13390096	0.22222222	0.093414746	0.22222222	0.09443272	0.22222222	0.094708644	0.22222222	0.063672855	0.22222222	0.06275848	0.22222222	0.062224228	0.22222222	0.03137304	0.22222222	0.030922087	0.22222222	0.031361528	0.22222222	0.015821444	0.22222222	0.01566867	0.22222222	0.016182283	0.22222222	0.01544374	0.22222222	0.010407465	0.22222222	0.010396565	0.22222222	0.000129344	0.22222222	0.000583409	0.22222222	0.000600461
0.44444445	0.23436247	0.44444445	0.23509176	0.44444445	0.23441598	0.44444445	0.14704078	0.44444445	0.14358725	0.44444445	0.1391024	0.44444445	0.09769635	0.44444445	0.10249316	0.44444445	0.09827609	0.44444445	0.06680734	0.44444445	0.06543362	0.44444445	0.066167474	0.44444445	0.034592956	0.44444445	0.03180877	0.44444445	0.033630993	0.44444445	0.017424012	0.44444445	0.017631842	0.44444445	0.017310508	0.44444445	0.016594853	0.44444445	0.011272367	0.44444445	0.011656404	0.44444445	0.000666659	0.44444445	0.001472573	0.44444445	0.001241825
0.6666667	0.23872499	0.6666667	0.235367	0.6666667	0.2423651	0.6666667	0.15467483	0.6666667	0.14860049	0.6666667	0.14876258	0.6666667	0.10371157	0.6666667	0.10719551	0.6666667	0.103841655	0.6666667	0.07141145	0.6666667	0.06953024	0.6666667	0.0715267	0.6666667	0.03719761	0.6666667	0.033795096	0.6666667	0.03495152	0.6666667	0.01849929	0.6666667	0.01983275	0.6666667	0.018829452	0.6666667	0.01757969	0.6666667	0.012287071	0.6666667	0.012480848	0.6666667	0.001004996	0.6666667	0.002695408	0.6666667	0.001824942
0.8888889	0.24260284	0.8888889	0.23701847	0.8888889	0.24501492	0.8888889	0.16142176	0.8888889	0.15255843	0.8888889	0.15062037	0.8888889	0.107382216	0.8888889	0.110017076	0.8888889	0.10740953	0.8888889	0.073566705	0.8888889	0.07521598	0.8888889	0.07425708	0.8888889	0.040844582	0.8888889	0.034859285	0.8888889	0.03759281	0.8888889	0.019594975	0.8888889	0.02142978	0.8888889	0.020088166	0.8888889	0.018439803	0.8888889	0.013318529	0.8888889	0.01342984	0.8888889	0.00151254	0.8888889	0.0029956	0.8888889	0.002174838
1.1111112	0.24357234	1.1111112	0.23866998	1.1111112	0.24810635	1.1111112	0.1647954	1.1111112	0.15678033	1.1111112	0.15247816	1.1111112	0.11044129	1.1111112	0.12130449	1.1111112	0.11211939	1.1111112	0.07797547	1.1111112	0.076219425	1.1111112	0.07678534	1.1111112	0.041649833	1.1111112	0.03744906	1.1111112	0.037386447	1.1111112	0.021137249	1.1111112	0.022336314	1.1111112	0.021477262	1.1111112	0.01905027	1.1111112	0.013634645	1.1111112	0.013881041	1.1111112	0.001612064	1.1111112	0.003929638	1.1111112	0.002968013
1.3333334	0.24745025	1.3333334	0.24004625	1.3333334	0.2644475	1.3333334	0.17030005	1.3333334	0.16100238	1.3333334	0.16325372	1.3333334	0.11441835	1.3333334	0.121035725	1.3333334	0.11540219	1.3333334	0.07944513	1.3333334	0.07998254	1.3333334	0.082246795	1.3333334	0.045155354	1.3333334	0.039187603	1.3333334	0.04011059	1.3333334	0.022273816	1.3333334	0.02376103	1.3333334	0.023300728	1.3333334	0.02028525	1.3333334	0.014283551	1.3333334	0.014565671	1.3333334	0.001860883	1.3333334	0.00476374	1.3333334	0.003317976
1.5555556	0.2576301	1.5555556	0.24183546	1.5555556	0.2604725	1.5555556	0.17260857	1.5555556	0.16337736	1.5555556	0.16251056	1.5555556	0.120027564	1.5555556	0.12399225	1.5555556	0.12011256	1.5555556	0.08395238	1.5555556	0.081404254	1.5555556	0.08568578	1.5555556	0.047524244	1.5555556	0.040216617	1.5555556	0.041183833	1.5555556	0.023593208	1.5555556	0.025876895	1.5555556	0.025233079	1.5555556	0.021242866	1.5555556	0.014899226	1.5555556	0.015654977	1.5555556	0.002288878	1.5555556	0.005442241	1.5555556	0.003691294
1.7777778	0.25811487	1.7777778	0.2411473	1.7777778	0.271956	1.7777778	0.18042243	1.7777778	0.16205792	1.7777778	0.16659799	1.7777778	0.12941162	1.7777778	0.13151854	1.7777778	0.12311021	1.7777778	0.08777406	1.7777778	0.086840644	1.7777778	0.08851806	1.7777778	0.050888475	1.7777778	0.043587934	1.7777778	0.043660756	1.7777778	0.025481267	1.7777778	0.0281444	1.7777778	0.027274385	1.7777778	0.02301968	1.7777778	0.01558151	1.7777778	0.01651097	1.7777778	0.002338647	1.7777778	0.005953956	1.7777778	0.004332988
2	0.26393208	2	0.24472576	2	0.27283934	2	0.1940984	2	0.16522457	2	0.17105709	2	0.13747111	2	0.13971776	2	0.1291059	2	0.09032201	2	0.094201796	2	0.093778424	2	0.054632355	2	0.045220587	2	0.046550874	2	0.026110703	2	0.030304428	2	0.02942472	2	0.024283187	2	0.01654679	2	0.017024612	2	0.002746771	2	0.007066559	2	0.005009762
