m0:50uM_M0:0_L0:10000 X	m0:50uM_M0:0_L0:10000 Y
241.0041841	1.47E-17
723.0125523	-0.004460327
1687.029289	-0.004460327
2410.041841	-0.004460327
3374.058577	1.47E-17
3856.066946	1.47E-17
4338.075314	0.004460328
4820.083682	0.004460328
5483.831809	0.012628131
5483.831809	0.02159066
5645.255437	0.032046942
5725.96725	0.048478244
5887.390878	0.058934528
6048.814505	0.073872074
6210.238132	0.088809622
6290.949946	0.108228433
6452.373573	0.12316598
6613.7972	0.139597282
6855.932641	0.157522339
7017.356268	0.178434905
7178.779896	0.194866207
7420.915337	0.217272527
7420.915337	0.233703829
7501.62715	0.253122641
7743.762591	0.278516471
7743.762591	0.296441527
7905.186218	0.314366585
8066.609846	0.335279151
8066.609846	0.360672981
8389.4571	0.381585547
8470.168914	0.405485622
8470.168914	0.424904433
8631.592541	0.447310754
8873.727982	0.46822332
8954.439795	0.492123396
9115.863423	0.516023472
9277.28705	0.542911056
9438.710677	0.577267414
9680.846118	0.607142509
9761.557932	0.641498868
9922.981559	0.672867717
10245.82881	0.713199094
10407.25244	0.746061697
10730.0997	0.784899321
11295.08239	0.810293151
12102.20053	0.835686981
12909.31866	0.865562075
13797.14861	0.898424679
14523.55494	0.919337245
15653.52033	0.932781038
16864.19753	0.947718584
17752.02748	0.959668622
18881.99287	0.965643642
20011.95826	0.97161866
20819.0764	0.97460617
21949.04179	0.982074944
22675.44811	0.985062452
23643.98988	0.991037472
24612.53164	0.99701249
24935.37889	0.998506246
25742.49703	0.998506246
27033.88605	1.001493754
28809.54595	1.001493754
30181.64678	1.001493754
32199.44212	1.001493754
34297.94927	0.998506246
36073.60917	1
37768.55726	1
40512.75892	1
43741.23147	1
46485.43313	1
49633.19386	1
53749.49636	1.005975018
57058.68072	1
