m0:50uM_M0:0_L0:10000 X	m0:50uM_M0:0_L0:10000 Y
338.4716733	-5.49E-17
1145.454545	-5.49E-17
2298.28722	0.008438819
3451.119895	0.012658228
4488.669302	0.012658228
5756.785244	0.016877637
7255.467721	0.033755274
8177.73386	0.033755274
9215.283267	0.042194093
10137.54941	0.054852321
10944.53228	0.067510549
12097.36495	0.088607595
13019.63109	0.092827004
13826.61397	0.105485232
14633.59684	0.126582278
15440.57971	0.139240506
16593.41238	0.151898734
17054.54545	0.168776371
17630.96179	0.194092827
18553.22793	0.206751055
19244.92754	0.240506329
19936.62714	0.270042194
20628.32675	0.29113924
21320.02635	0.324894515
22011.72596	0.35021097
22818.70883	0.375527426
23395.12516	0.41350211
24086.82477	0.447257384
24663.24111	0.47257384
25470.22398	0.506329114
26046.64032	0.53164557
26507.77339	0.556962025
27430.03953	0.594936709
28352.30567	0.632911392
29044.00527	0.666666667
29850.98814	0.696202532
30542.68775	0.721518987
31349.67062	0.746835443
32271.93676	0.772151899
32963.63636	0.797468354
33655.33597	0.810126582
34577.60211	0.831223629
35269.30171	0.843881857
36076.28458	0.856540084
37113.83399	0.877637131
38266.66667	0.890295359
39188.93281	0.907172996
40226.48221	0.919831224
41264.03162	0.932489452
42186.29776	0.945147679
43223.84717	0.966244726
44030.83004	0.966244726
44953.09618	0.974683544
45875.36232	0.987341772
46797.62846	1
47835.17787	1.008438819
48872.72727	1.012658228
50140.84321	1
