m0:173uM_M0:0_L0:10000 X	m0:173uM_M0:0_L0:10000 Y
2.057699973	-4.79E-17
4.170874302	0.001895734
6.285045177	0.007582939
8.188446718	0.015165876
10.09334308	0.028436019
10.94239968	0.043601895
11.79145628	0.058767772
12.42924528	0.073933649
13.2797967	0.094786729
13.91808398	0.111848342
14.77660776	0.163033175
15.20312915	0.178199052
15.84141642	0.195260663
16.48368988	0.227488151
17.12147887	0.242654029
17.33922402	0.267298578
18.19226681	0.297630332
18.40901541	0.318483412
18.83454026	0.32985782
19.47631544	0.360189574
20.32736513	0.382938388
20.33184959	0.4
20.33583577	0.415165877
21.39865134	0.439810427
22.03942998	0.466350711
23.53026176	0.511848341
24.17203694	0.542180094
24.81281557	0.56872038
26.09088493	0.608530806
26.94293117	0.635071091
27.58221499	0.65592417
28.00873638	0.671090047
28.85829126	0.688151659
29.49657853	0.70521327
30.13586234	0.726066351
31.1971831	0.745023697
32.25800558	0.762085308
33.31932634	0.781042654
34.80517539	0.807582939
36.07776375	0.826540284
37.13758969	0.839810426
38.62144566	0.858767773
39.8925392	0.872037915
41.37589689	0.889099526
42.64898352	0.909952607
43.91957879	0.921327014
45.8254717	0.938388626
46.88479936	0.949763034
48.1558929	0.963033176
49.84802684	0.970616114
51.96219771	0.976303318
53.86559926	0.983886256
55.98176322	0.997156398
57.67190407	0.997156398
59.996346	0.999052132
62.10952033	1.000947868
64.43495881	1.006635071
66.54614005	1.000947868
68.44854504	1.004739337
71.19502392	1.004739337
73.51896758	1.004739337
78.16536009	0.999052132
81.75690938	0.999052132
84.29212065	0.999052132
87.24986713	0.999052132
90.20811188	1.000947868
94.6447316	1.000947868
