m0:150uM_M0:0_L0:10000 X	m0:150uM_M0:0_L0:10000 Y
0	0.003478367
2871.587147	0.003478367
10551.58715	0.003478367
15352.52191	-0.000183072
18712.52191	-0.000183072
23032.52191	-0.000183072
29272.52191	-0.000183072
34073.92405	-0.00567523
36953.45667	-0.003844511
42712.52191	-0.000183072
47032.52191	-0.000183072
52312.52191	-0.000183072
55192.52191	-0.000183072
57112.52191	-0.000183072
60952.52191	-0.000183072
64792.52191	-0.000183072
69112.52191	-0.000183072
72472.52191	-0.000183072
76312.05453	0.001647648
79670.185	0.008970525
82550.185	0.008970525
87829.71762	0.010801245
90229.25024	0.012631964
94068.31548	0.016293403
98865.97858	0.025447001
101265.0438	0.02910844
103183.6417	0.034600598
106542.7069	0.038262037
108941.3048	0.043754195
112298.9679	0.052907793
115656.631	0.06206139
119494.7614	0.069384268
122851.0224	0.084030024
125729.1529	0.091352902
129086.816	0.100506499
129562.6095	0.116982974
133879.3379	0.129798011
138192.3272	0.157258803
141067.186	0.177396717
142983.4469	0.192042473
146337.8384	0.214011106
151608.4907	0.250625496
154481.48	0.278086288
159274.9367	0.303716361
161666.0565	0.338500031
165018.5784	0.367791542
167891.1003	0.397083054
173161.7527	0.433697443
175075.2093	0.459327516
177948.1986	0.486788308
179383.0574	0.506926222
182255.5794	0.536217734
182731.3729	0.552694209
186560.6232	0.594800757
190392.6777	0.625922988
193740.5258	0.673521694
195654.9172	0.695490328
197570.2434	0.713797522
199006.037	0.730273998
202834.3525	0.776041985
206184.0701	0.816317813
207618.9289	0.836455727
210009.5813	0.873070117
212885.8423	0.887715872
215759.2989	0.913345945
219591.3535	0.944468176
223907.147	0.960944651
227742.9406	0.977421127
232538.2668	0.995728321
238297.332	0.99938976
242137.332	0.99938976
245496.8647	1.00122048
247897.332	0.99938976
