m0:150uM_M0:0_L0:10000 X	m0:150uM_M0:0_L0:10000 Y
7670.185005	-6.05E-17
10069.25024	0.010186757
11988.78286	0.015280136
13907.38072	0.030560272
15825.97858	0.045840407
19182.23953	0.086587436
22540.37001	0.106960951
25897.09834	0.142614601
29733.82668	0.178268251
31645.41383	0.269949066
33570.08763	0.21901528
35004.47907	0.280135823
37882.14216	0.305602716
41718.40312	0.346349745
49873.72931	0.397283531
53709.52288	0.443123939
56105.31646	0.488964346
62341.11003	0.534804754
67615.96884	0.590831919
73852.69718	0.626485569
75284.28432	0.718166384
78649.42551	0.662139219
83927.08861	0.687606112
89206.15385	0.697792869
92559.14314	0.774193548
97837.74099	0.789473684
103592.5998	0.845500849
111751.1977	0.860780984
117508.8608	0.886247877
123268.3934	0.891341256
131428.3934	0.891341256
136226.5239	0.91171477
145821.3827	0.967741936
155419.9805	0.983022071
163099.9805	0.983022071
174138.5784	0.998302207
184219.9805	0.983022071
195738.5784	0.998302207
205819.0458	0.993208829
215418.5784	0.998302207
228858.5784	0.998302207
241338.111	1.003395586
