m0:150uM_M0:0_L0:10000 X	m0:150uM_M0:0_L0:10000 Y
8148.782863	-2.59E-17
11025.5112	0.038181818
16302.70691	0.070909091
20619.43525	0.109090909
26854.76144	0.163636364
31650.08763	0.218181818
35964.94645	0.278181818
39318.40312	0.354545454
44594.19669	0.403636364
50829.0555	0.463636363
57064.84907	0.512727272
62820.17527	0.567272727
72415.03408	0.627272727
79611.29503	0.670909091
88245.21908	0.741818182
93521.94742	0.78
102636.3389	0.845454545
114154.4693	0.867272727
121834.0019	0.872727272
129513.5346	0.878181818
138631.665	0.9
144386.5239	0.96
147749.7955	0.921818181
153025.5891	0.970909091
155908.3934	0.938181818
166465.1217	0.976363636
173185.1217	0.976363636
179425.1217	0.976363636
193824.187	0.987272727
202463.2522	0.998181818
212063.2522	0.998181818
219742.7848	1.003636364
226943.7196	0.992727273
237022.7848	1.003636364
246142.7848	1.003636364
