m0:150uM_M0:0_L0:10000 X	m0:150uM_M0:0_L0:10000 Y
0	-2.34E-17
2390.185005	0.008559201
5748.315482	0.025677603
8146.91334	0.038516405
10545.04382	0.055634807
11983.64167	0.068473609
13900.83739	0.094151213
15818.50049	0.115549215
17735.22882	0.145506419
20132.89192	0.166904422
21089.62025	0.196861626
23486.81597	0.22253923
24924.47907	0.243937233
26361.2074	0.273894437
28757.00097	0.312410842
30195.13145	0.329529244
32112.32717	0.355206847
34029.99026	0.37660485
35467.18598	0.402282454
37385.31646	0.419400856
39302.51217	0.445078459
40738.77313	0.479315264
42657.37098	0.492154066
44574.5667	0.517831669
46972.2298	0.539229672
48889.42551	0.564907275
51767.55599	0.582025678
53685.68647	0.59914408
55604.28432	0.611982882
58001.01266	0.641940086
60399.14314	0.659058488
63277.74099	0.67189729
66633.53457	0.710413695
69511.19766	0.731811698
72869.32814	0.7489301
76228.86076	0.7532097
80066.99124	0.770328103
82945.12171	0.787446505
84863.25219	0.804564907
87262.78481	0.808844508
89660.91529	0.82596291
92060.91529	0.82596291
96379.98053	0.834522111
98298.57838	0.847360913
101657.6436	0.855920114
105015.7741	0.873038517
109335.3067	0.877318117
113175.7741	0.873038517
117972.9698	0.89871612
120372.0351	0.907275321
122770.6329	0.920114123
128530.6329	0.920114123
133331.1003	0.915834522
138129.2308	0.932952924
142447.8286	0.945791726
145807.8286	0.945791726
150127.3612	0.950071327
153967.3612	0.950071327
158286.4265	0.958630528
161646.8939	0.954350927
165966.8939	0.954350927
169325.4917	0.967189729
172685.4917	0.967189729
176045.9591	0.962910128
180364.0896	0.980028531
184683.6222	0.984308131
189483.6222	0.984308131
194282.2201	0.997146933
199082.6874	0.992867332
203882.6874	0.992867332
208681.2853	1.005706134
214441.2853	1.005706134
218282.2201	0.997146933
225002.2201	0.997146933
229801.7527	1.001426534
234121.7527	1.001426534
238442.2201	0.997146933
242762.2201	0.997146933
248041.2853	1.005706134
