data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y
0	0.001447783	0	0.007475733	0	0.000480722	0	-0.005029104	0	0.010105665	0	0.0028077	0	-0.00112448	0	0.016545776	0	0.005877692	0	0.014695884	0	0.02323014
0.08	0.00627092	0.08	-0.005451055	0.08	0.00397228	0.08	0.00523865	0.08	-0.002143626	0.08	0.00920793	0.08	0.006260618	0.08	0.000494762	0.08	0.019167616	0.08	0.031651114	0.08	0.00021028
0.17	-0.007718703	0.17	-0.002024678	0.17	-0.004453002	0.17	-0.000209546	0.17	-0.007962039	0.17	-0.01201563	0.17	-0.005136138	0.17	-0.017040538	0.17	0.034954692	0.17	0.013653002	0.17	0.036559579
0.25	0.004705294	0.25	0.000856594	0.25	-0.007210827	0.25	0.005717613	0.25	-0.009615694	0.25	-0.000375834	0.25	0.0031607	0.25	-0.017938014	0.25	0.028521353	0.25	0.04342558	0.25	0.03578271
0.33	-0.003627874	0.33	0.009915729	0.33	0.000455421	0.33	-0.020954602	0.33	-0.023702379	0.33	0.013950069	0.33	0.00720275	0.33	-0.028569653	0.33	0.024585165	0.33	0.008606803	0.33	0.004830607
0.42	-0.005622784	0.42	0.007553605	0.42	0.015787916	0.42	0.019308169	0.42	-0.010381275	0.42	0.01176139	0.42	0.009026231	0.42	-0.020354296	0.42	0.048075318	0.42	0.056276568	0.42	0.02875
0.5	0.01649799	0.5	0.001635317	0.5	-0.006679503	0.5	-0.019368039	0.5	-0.007073966	0.5	-0.007870404	0.5	-0.030786437	0.5	-0.010378505	0.5	0.049006459	0.5	0.039960523	0.5	0.015870327
0.58	-0.003425858	0.58	0.033459097	0.58	0.020139713	0.58	0.012872113	0.58	-0.014362294	0.58	0.003570422	0.58	-0.002856787	0.58	-0.013623226	0.58	0.038044388	0.58	0.059136081	0.58	0.04036215
0.67	-0.006683369	0.67	0.018845077	0.67	0.007337333	0.67	-0.01739232	0.67	0.0030317	0.67	0.010998668	0.67	0.00607827	0.67	-0.013347079	0.67	0.073808674	0.67	0.035385302	0.67	0.025601636
0.75	-0.006380345	0.75	0.021804221	0.75	0.014801171	0.75	-0.005388326	0.75	-0.001224929	0.75	0.016868309	0.75	0.003039135	0.75	-0.009929767	0.75	0.085320965	0.75	0.048841834	0.75	0.059088785
0.83	0.014679844	0.83	0.02902038	0.83	0.023960186	0.83	0.025893901	0.83	-0.005144702	0.83	0.026783691	0.83	0.008236056	0.83	0.003739483	0.83	0.133063113	0.83	0.073904626	0.83	0.027523364
0.92	0.017583827	0.92	0.020869755	0.92	0.018469837	0.92	0.010986198	0.92	0.001684278	0.92	0.027413765	0.92	0.019237724	0.92	0.002807489	0.92	0.100938742	0.92	0.095973339	0.92	0.098954439
1	0.015917194	1	0.041687595	1	0.055434813	1	0.039544327	1	0.004164759	1	0.037760251	1	0.03288344	1	0.022759071	1	0.148680891	1	0.088706811	1	0.096910047
1.08	0.020891843	1.08	0.059105015	1.08	0.040962557	1.08	0.028887415	1.08	0.013994815	1.08	0.077255971	1.08	0.038657796	1.08	0.011091883	1.08	0.146437687	1.08	0.111549275	1.08	0.11853972
1.17	0.030588621	1.17	0.062894796	1.17	0.043214359	1.17	0.042418101	1.17	0.041433228	1.17	0.039252533	1.17	0.042760629	1.17	0.019790497	1.17	0.166626521	1.17	0.119555912	1.17	0.078306075
1.25	0.039351073	1.25	0.044568867	1.25	0.050931209	1.25	0.02670215	1.25	0.042045693	1.25	0.056861455	1.25	0.041241061	1.25	0.013680756	1.25	0.172551965	1.25	0.112087536	1.25	0.118417056
1.33	0.033265335	1.33	0.07556201	1.33	0.051791448	1.33	0.052865467	1.33	0.023181784	1.33	0.089094738	1.33	0.05631517	1.33	0.007156796	1.33	0.195195625	1.33	0.138630546	1.33	0.123241822
1.42	0.042255056	1.42	0.057677357	1.42	0.053208312	1.42	0.058613015	1.42	0.05662235	1.42	0.072712802	1.42	0.050844728	1.42	0.027419043	1.42	0.200867122	1.42	0.140178047	1.42	0.151209112
1.5	0.032709791	1.5	0.076807966	1.5	0.059660104	1.5	0.062115427	1.5	0.069637222	1.5	0.082661346	1.5	0.048443811	1.5	0.03849942	1.5	0.231256184	1.5	0.163457848	1.5	0.139556075
1.58	0.048795331	1.58	0.076626264	1.58	0.053714335	1.58	0.04741727	1.58	0.057816656	1.58	0.100900343	1.58	0.074458806	1.58	0.041882214	1.58	0.220590385	1.58	0.139707069	1.58	0.129129673
