m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:6uM_M0:0_L0:10000 X	m0:6uM_M0:0_L0:10000 Y	m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y
0	-4.43E-17	0	-8.75E-17	0	-6.06E-17	0	-3.90E-17	0	-8.74E-17	0	-5.90E-17
0	-4.41E-17	0	-8.71E-17	0	1.53E-17	0	-3.53E-17	0	-8.57E-17	0	-5.73E-17
0	-3.32E-17	0	-5.99E-17	0	2.88E-17	0	-1.94E-17	0	-2.36E-17	0	-4.05E-17
0	-2.27E-17	0	-3.81E-17	0	3.73E-17	0	-1.85E-17	0	0	0	-3.84E-17
0	-1.10E-17	0	0	0	4.35E-17	0	0	0	1.23E-17	0	0
0	0	0	0	0	4.38E-17	0	1.82E-17	0	4.86E-17	0	4.03E-17
0	2.16E-17	0	3.79E-17	0	4.52E-17	0	4.71E-17	0	8.73E-17	0	4.28E-17
0.25	0.010922578	0.25	0.017326932	0.25	0.015991512	0.25	0.016729609	0.25	0.022407667	0.25	-0.022953764
0.25	0.011269826	0.25	0.017100197	0.25	0.017124273	0.25	0.017617919	0.25	0.023411586	0.25	-0.020394087
0.25	0.011530452	0.25	0.019735386	0.25	0.017828025	0.25	0.019830896	0.25	0.024915239	0.25	-0.011991603
0.25	0.012144781	0.25	0.019779399	0.25	0.017770481	0.25	0.018376951	0.25	0.025765935	0.25	-0.01088679
0.25	0.01330926	0.25	0.023854556	0.25	0.02043007	0.25	0.020138999	0.25	0.026545043	0.25	-0.010406494
0.25	0.014167956	0.25	0.022963104	0.25	0.019341192	0.25	0.021525772	0.25	0.025997115	0.25	-0.010950141
0.25	0.016201383	0.25	0.023759442	0.25	0.021767057	0.25	0.022508235	0.25	0.02700164	0.25	-0.009340887
0.5	0.012392449	0.5	0.020828616	0.5	0.01866927	0.5	0.018211382	0.5	0.020862977	0.5	-0.024497665
0.5	0.012799387	0.5	0.021512489	0.5	0.019646347	0.5	0.01780217	0.5	0.022322675	0.5	-0.023061093
0.5	0.014713187	0.5	0.022419484	0.5	0.020565797	0.5	0.018828415	0.5	0.025374532	0.5	-0.014314322
0.5	0.015306916	0.5	0.023614887	0.5	0.02031094	0.5	0.023305112	0.5	0.027573571	0.5	-0.012040628
0.5	0.015869201	0.5	0.025996575	0.5	0.020916168	0.5	0.022529715	0.5	0.026384665	0.5	-0.012670633
0.5	0.01780326	0.5	0.026420485	0.5	0.024681725	0.5	0.022851772	0.5	0.026841569	0.5	-0.011773868
0.5	0.019735089	0.5	0.02728199	0.5	0.024779458	0.5	0.026519655	0.5	0.027087998	0.5	-0.011628358
0.75	0.019439209	0.75	0.029903882	0.75	0.02709602	0.75	0.024083755	0.75	0.028944921	0.75	-0.019957152
0.75	0.021273035	0.75	0.031965237	0.75	0.027062321	0.75	0.026663443	0.75	0.031027049	0.75	-0.017696755
0.75	0.022357478	0.75	0.033236458	0.75	0.027320763	0.75	0.026137655	0.75	0.031075901	0.75	-0.011158293
0.75	0.024924977	0.75	0.034227376	0.75	0.029999336	0.75	0.030145103	0.75	0.032821743	0.75	-0.008545864
0.75	0.025253118	0.75	0.037704592	0.75	0.028849995	0.75	0.030564935	0.75	0.034745399	0.75	-0.007148413
0.75	0.031067739	0.75	0.036611231	0.75	0.035004716	0.75	0.031611625	0.75	0.036393649	0.75	-0.005826896
0.75	0.031050028	0.75	0.03955871	0.75	0.034804193	0.75	0.032767178	0.75	0.034710701	0.75	-0.004937132
1	0.031537993	1	0.044396064	1	0.037904608	1	0.033111254	1	0.03415715	1	-0.014750815
1	0.032305611	1	0.046204538	1	0.037366295	1	0.035912714	1	0.037769491	1	-0.013651624
1	0.033850739	1	0.046658378	1	0.038784932	1	0.035928083	1	0.039188696	1	-0.005633048
1	0.035866282	1	0.047209354	1	0.038385748	1	0.03961665	1	0.04032454	1	-0.003852044
1	0.036326702	1	0.053379934	1	0.039628802	1	0.042025521	1	0.041811938	1	-0.002391354
1	0.042826912	1	0.051620805	1	0.044216993	1	0.040014684	1	0.045453717	1	0.002306858
1	0.044895767	1	0.052159078	1	0.047596564	1	0.044796316	1	0.044535752	1	0.002723837
1.25	0.047611514	1.25	0.061319519	1.25	0.054263097	1.25	0.046650547	1.25	0.044875083	1.25	-0.006741284
1.25	0.049488829	1.25	0.064889397	1.25	0.054450785	1.25	0.050611178	1.25	0.048594812	1.25	-0.004189007
1.25	0.049175333	1.25	0.065311615	1.25	0.054294714	1.25	0.049457154	1.25	0.049981327	1.25	0.002741297
1.25	0.053165076	1.25	0.071246958	1.25	0.056517766	1.25	0.047982049	1.25	0.051818222	1.25	0.006497132
1.25	0.053287162	1.25	0.068276466	1.25	0.056859965	1.25	0.053600384	1.25	0.053387154	1.25	0.0108179
1.25	0.061352565	1.25	0.074719369	1.25	0.063165751	1.25	0.058416518	1.25	0.058200246	1.25	0.014106011
1.25	0.064872394	1.25	0.075170101	1.25	0.066548304	1.25	0.059522347	1.25	0.056776327	1.25	0.015995053
1.5	0.06720512	1.5	0.086071774	1.5	0.073292161	1.5	0.065200248	1.5	0.054264477	1.5	0.001685321
1.5	0.06929837	1.5	0.086274898	1.5	0.070875883	1.5	0.064756353	1.5	0.060297451	1.5	0.005788244
1.5	0.071186903	1.5	0.093100985	1.5	0.073468235	1.5	0.064636472	1.5	0.061876069	1.5	0.009497049
1.5	0.07488715	1.5	0.088713419	1.5	0.075712617	1.5	0.062690077	1.5	0.063796012	1.5	0.011684363
1.5	0.073579113	1.5	0.089984588	1.5	0.073471577	1.5	0.072155647	1.5	0.066733422	1.5	0.018592504
1.5	0.083057167	1.5	0.097371971	1.5	0.082124177	1.5	0.077337337	1.5	0.065337692	1.5	0.02621158
1.5	0.091403415	1.5	0.09860304	1.5	0.086347712	1.5	0.076438402	1.5	0.07267001	1.5	0.029581898
1.75	0.092451046	1.75	0.116154379	1.75	0.097618799	1.75	0.080881278	1.75	0.063836633	1.75	0.01105389
1.75	0.093453289	1.75	0.115313187	1.75	0.095419727	1.75	0.085658311	1.75	0.071961459	1.75	0.015235109
1.75	0.096817271	1.75	0.121145877	1.75	0.100506011	1.75	0.079503693	1.75	0.07300045	1.75	0.014755596
1.75	0.100806508	1.75	0.117680451	1.75	0.09867103	1.75	0.085493028	1.75	0.07873318	1.75	0.019214522
1.75	0.100415582	1.75	0.118583171	1.75	0.103467311	1.75	0.09793418	1.75	0.078557021	1.75	0.031339177
1.75	0.109631317	1.75	0.123971384	1.75	0.103123257	1.75	0.092110969	1.75	0.083412828	1.75	0.036471145
1.75	0.122050672	1.75	0.126478345	1.75	0.109983877	1.75	0.096719494	1.75	0.091697777	1.75	0.043284759
2	0.119245768	2	0.148363237	2	0.122686095	2	0.096022552	2	0.075791724	2	0.015258681
2	0.120598354	2	0.152478759	2	0.12234037	2	0.101011022	2	0.08620495	2	0.021421833
2	0.124525503	2	0.147203443	2	0.129869893	2	0.106253117	2	0.089505024	2	0.024096472
2	0.127209029	2	0.149738976	2	0.128329673	2	0.104290778	2	0.092389092	2	0.027364834
