m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:20uM_M0:0_L0:10000 X	m0:20uM_M0:0_L0:10000 Y
318.2711198	4.40E-18	318.2711198	3.60E-18
1096.267191	4.40E-18	954.8133595	0.00462963
2015.717092	4.40E-18	1591.355599	0.011574074
3005.89391	4.40E-18	2227.897839	0.020833333
4278.978389	0.011326861	2722.986248	0.032407407
5198.428291	0.039644013	3218.074656	0.048611111
6117.878193	0.084951456	3713.163065	0.06712963
6825.147348	0.147249191	4066.797642	0.094907407
7532.416503	0.181229773	4420.43222	0.125
8168.958743	0.249190939	4774.066798	0.157407407
8876.227898	0.294498382	4986.247544	0.1875
9442.043222	0.362459547	5339.882122	0.229166667
10290.76621	0.419093851	5622.789784	0.266203704
11068.76228	0.487055016	5976.424361	0.314814815
11988.21218	0.566343042	6188.605108	0.354166667
13049.11591	0.634304207	6542.239686	0.402777778
13756.38507	0.707928803	6754.420432	0.444444444
14958.74263	0.787216829	7108.05501	0.488425926
16019.64637	0.855177993	7390.962672	0.530092593
17222.00393	0.866504854	7673.870334	0.574074074
19060.90373	0.894822006	7956.777996	0.615740741
19980.35363	0.900485437	8310.412574	0.650462963
21324.16503	0.917475728	8593.320236	0.689814815
22880.15717	0.934466019	8946.954813	0.715277778
24082.51473	0.951456311	9371.316306	0.74537037
25497.05305	0.962783172	9654.223969	0.775462963
26911.59136	0.985436893	10007.85855	0.796296296
28467.5835	0.991100324	10502.94695	0.819444444
30660.11788	1.002427184	11068.76228	0.849537037
32003.92927	1.013754045	11493.12377	0.875
33559.92141	1.025080906	12129.66601	0.898148148
35115.91356	1.019417476	12766.20825	0.921296296
		13473.47741	0.94212963
		14322.20039	0.949074074
		15241.65029	0.960648148
		16514.73477	0.974537037
		17575.63851	0.981481481
		18707.26916	0.986111111
		19768.17289	0.986111111
		20687.62279	0.990740741
		21819.25344	0.99537037
		23092.33792	0.99537037
		24294.69548	0.99537037
		25426.32613	0.997685185
		27053.04519	0.997685185
		28467.5835	0.99537037
		29811.39489	1
		31155.20629	1.002314815
		32499.01768	1
		34125.73674	1
		35540.27505	1.00462963
