m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:24uM_M0:0_L0:10000 X	m0:24uM_M0:0_L0:10000 Y
4886.007926	-3.78E-17	1659.501579	5.10E-17
13779.30409	0.017799282	9733.928931	-0.01170501
19435.21193	0.017952535	17813.79727	-0.01155722
25901.8271	0.02690691	24283.13293	0.000413813
32376.60375	0.062198967	27531.40324	0.036031332
38851.3804	0.097491024	30782.39404	0.07757525
47752.83805	0.141627989	36457.34533	0.119163506
52611.64103	0.176876259	41329.75079	0.172589783
59902.566	0.238527892	45388.72842	0.21414848
66382.78364	0.291378404	47829.01189	0.249751219
73679.14959	0.370588493	51082.72318	0.297221538
80167.52872	0.449776688	56768.55646	0.362515395
85842.48002	0.511384534	61640.96191	0.415941672
93946.83281	0.590616516	62484.31517	0.492999655
101237.7578	0.65226815	67364.88211	0.564205133
109333.9491	0.705162449	71437.46222	0.635395832
118238.1272	0.758078641	73885.90717	0.688777772
128758.279	0.81103862	77147.77994	0.754027292
138465.003	0.84641825	81209.47807	0.80151239
149790.4212	0.890620895	86884.42937	0.843100645
158686.4378	0.917199404	90937.96601	0.872806542
169201.1487	0.952600928	101458.1178	0.908557072
180518.4053	0.97046589	108740.8813	0.932395685
191030.3956	0.997088186	116831.6316	0.956249076
199929.1328	1.032445923	124117.1156	0.986014089
		132202.4249	0.99801468
		141906.4284	1.01597123
