m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:32uM_M0:0_L0:10000 X	m0:32uM_M0:0_L0:10000 Y
759.4936709	0	0	0
6835.443038	0	3037.974684	0.006954103
11772.1519	0.041208791	7594.936709	0.020862309
16329.11392	0.054945055	11772.1519	0.034770515
21645.56962	0.068681319	15569.62025	0.062586926
26962.02532	0.10989011	18227.8481	0.097357441
31518.98734	0.137362637	22405.06329	0.152990264
37215.18987	0.164835165	25063.29114	0.194714882
41772.1519	0.247252747	26962.02532	0.250347705
46329.11392	0.302197802	29620.25316	0.319888734
49746.83544	0.357142857	31139.24051	0.375521558
53544.3038	0.412087912	33797.46835	0.465924896
58101.26582	0.453296703	34936.70886	0.507649513
62658.22785	0.508241758	37215.18987	0.584144645
67594.93671	0.576923077	39493.67089	0.632823366
71392.40506	0.618131868	42531.64557	0.688456189
76708.86076	0.645604396	45569.62025	0.744089013
83544.3038	0.700549451	48607.59494	0.778859527
84683.5443	0.714285714	53544.3038	0.834492351
89620.25316	0.755494505	57341.77215	0.862308763
94936.70886	0.81043956	64936.70886	0.910987483
97594.93671	0.824175824	69493.67089	0.931849791
100632.9114	0.824175824	74810.12658	0.952712101
104810.1266	0.865384615	78987.34177	0.966620306
108987.3418	0.892857143	84303.79747	0.980528512
116202.5316	0.934065934	90379.74684	1.00139082
118481.0127	0.934065934	97594.93671	1.022253129
122278.481	0.947802198	105569.6203	1.029207233
127215.1899	0.947802198		
131012.6582	0.961538462		
134810.1266	0.989010989		
137088.6076	0.989010989		
141645.5696	0.989010989		
145822.7848	1.002747253		
150759.4937	1.002747253		
158354.4304	1.016483516		
