m0:8uM_M0:0_L0:10000 X	m0:8uM_M0:0_L0:10000 Y
2278.481013	4.50E-17
9113.924051	4.50E-17
15189.87342	0.025
20886.07595	0.05
26582.27848	0.075
31139.24051	0.1
38734.17722	0.175
44430.37975	0.275
50506.32911	0.325
55822.78481	0.375
61518.98734	0.475
66835.44304	0.5
71772.1519	0.55
77468.35443	0.575
85063.29114	0.65
89240.50633	0.65
94177.21519	0.7
97215.18987	0.725
102911.3924	0.775
107088.6076	0.825
111265.8228	0.825
117721.519	0.85
121518.9873	0.875
126455.6962	0.875
131392.4051	0.925
137848.1013	0.925
140126.5823	0.925
146582.2785	0.925
150759.4937	0.95
156455.6962	0.975
159493.6709	0.975
164430.3797	0.95
170886.0759	0.95
176962.0253	1
180379.7468	1
