m0:16uM_M0:0.016uM_L0:10000 X	m0:16uM_M0:0.016uM_L0:10000 Y	m0:16uM_M0:0.16uM_L0:10000 X	m0:16uM_M0:0.16uM_L0:10000 Y	m0:16uM_M0:1uM_L0:10000 X	m0:16uM_M0:1uM_L0:10000 Y	m0:16uM_M0:0uM_L0:10000 X	m0:16uM_M0:0uM_L0:10000 Y
3272.727273	0	8181.818182	0.01	0	0.06	3272.727273	0
9818.181818	0.023364486	14727.27273	0.028	1636.363636	0.131521739	9818.181818	0
17181.81818	0.023364486	22090.90909	0.082	3272.727273	0.21326087	18000	0.04
29454.54545	0.11682243	28636.36364	0.172	4909.090909	0.284782609	26181.81818	0.12
34363.63636	0.163551402	36818.18182	0.298	5727.272727	0.356304348	33545.45455	0.12
43363.63636	0.257009346	41727.27273	0.424	8181.818182	0.438043478	44181.81818	0.2
54000	0.420560748	47454.54545	0.586	9000	0.540217392	53181.81818	0.24
57272.72727	0.490654205	54818.18182	0.73	9818.181818	0.632173913	61363.63636	0.32
64636.36364	0.630841121	62181.81818	0.838	10636.36364	0.713913043	69545.45455	0.44
71181.81818	0.747663551	72000	0.928	13090.90909	0.816086956	81818.18182	0.64
80181.81818	0.841121495	81000	0.982	13909.09091	0.928478261	87545.45455	0.76
89181.81818	0.911214953	92454.54545	1.018	16363.63636	1	99818.18182	0.88
100636.3636	0.957943925	105545.4545	1	18000	1	107181.8182	0.96
114545.4545	0.981308411	114545.4545	0.982			122727.2727	1
124363.6364	1.004672897					131727.2727	1
136636.3636	1.004672897					139090.9091	1
148909.0909	1.004672897						
157909.0909	1.004672897						
