m0:16uM_M0:0uM_L0:10000 X	m0:16uM_M0:0uM_L0:10000 Y	m0:16uM_M0:0.16uM_L0:10000 X	m0:16uM_M0:0.16uM_L0:10000 Y	m0:16uM_M0:1.6uM_L0:10000 X	m0:16uM_M0:1.6uM_L0:10000 Y
667.621691	0	5812.06912	0.01	3614.767064	0.1
4663.055481	0	12090.60793	0.01	7050.616289	0.118325792
10374.5486	0.012244898	17231.3248	0.017983871	11631.74859	0.142760181
16656.81798	0.024489796	22950.27905	0.041935484	16212.88089	0.16719457
21801.26541	0.048979592	28098.45704	0.065887097	20238.15919	0.216063348
27523.95022	0.097959184	32679.58934	0.097822581	25427.37338	0.30158371
32672.12821	0.134693877	37264.4522	0.137741935	28314.82974	0.356561086
37827.76733	0.195918367	40711.49312	0.185645161	30631.50983	0.411538461
42416.36076	0.269387755	43606.4106	0.273467742	32955.65106	0.478733032
45874.59337	0.379591837	47098.21828	0.417177419	35294.71454	0.570361991
48762.04972	0.489795918	47105.67941	0.433145161	37637.50858	0.668099547
51082.46038	0.612244898	49437.28176	0.536935484	38808.9056	0.716968326
54540.69299	0.722448979	51183.1856	0.608790323	41136.77739	0.790271493
56849.91196	0.808163265	52925.35888	0.67266129	43457.18805	0.851357466
59159.13093	0.893877551	54686.18498	0.776451613	48071.89542	0.930769231
62602.44128	0.955102041	57002.86507	0.848306452	52660.48885	0.967420814
67176.11245	0.979591837	61028.14337	0.912177419	57816.12797	0.997963801
77457.54618	1.004081633	66180.05193	0.944112903	63527.62109	1.004072398
84881.36807	1.016326531	72477.24356	0.984032258	70373.2056	0.997963801
		77050.91473	1	76651.74441	0.997963801
		81620.85534	1.007983871		
		87895.66359	1		
		94741.2481	0.992016129		
