m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y
115.6626506	-8.05E-17
202.4096386	0.011836584
289.1566265	0.041321728
375.9036145	0.088455432
462.6506024	0.129706283
520.4819277	0.170933507
693.9759036	0.206372382
751.8072289	0.277013873
838.5542169	0.324147577
867.4698795	0.353585469
954.2168675	0.436016292
1040.963855	0.494915703
1040.963855	0.541978529
1098.795181	0.565557194
1127.710843	0.606760792
1272.289157	0.665707455
1272.289157	0.695121721
1359.036145	0.765786837
1416.86747	0.812896915
1503.614458	0.883562032
1648.192771	0.954274401
1706.024096	0.936673093
1850.60241	0.936791222
1850.60241	0.936791222
2024.096386	1.007527217
2053.012048	0.960488017
2255.421687	0.960653398
2284.337349	0.972442731
2371.084337	1.025459288
2689.156627	1.043367732
2833.73494	1.019954449
2891.566265	1.020001701
2891.566265	1.020001701
3065.060241	1.020143457
3412.048193	0.991012701
3585.542169	0.985271603
3701.204819	0.973600401
3903.614458	0.967882929
4048.192771	0.968001058
4192.771084	0.968119188
4250.60241	0.96816644
4886.746988	1.033397596
5204.819277	1.051306041
5378.313253	1.010267824
5638.554217	1.010480457
5985.542169	0.981349701
6216.86747	0.969773002
