m0:6.4uM_M0:0_L0:10000 X	m0:6.4uM_M0:0_L0:10000 Y	m0:8uM_M0:0_L0:10000 X	m0:8uM_M0:0_L0:10000 Y	m0:10uM_M0:0_L0:10000 X	m0:10uM_M0:0_L0:10000 Y	m0:12.8uM_M0:0_L0:10000 X	m0:12.8uM_M0:0_L0:10000 Y	m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:20uM_M0:0_L0:10000 X	m0:20uM_M0:0_L0:10000 Y
559.4451244	1.37E-17	372.745818	6.62E-18	186.699312	-5.02E-17	560.0979192	2.10E-17	558.1395349	0	0	-3.52E-18
1861.117911	-0.003703704	1303.631171	0.003571429	1863.729108	0.014134278	1680.293758	0.021201413	1304.936761	0.014084507	1070.63197	0.046153847
2979.355365	0.007407408	2794.614443	0.017857143	3354.71238	0.028268556	2985.230518	0.035335689	2424.479804	0.03169014	2408.921933	0.082051282
4467.727458	0.007407408	4098.245614	0.024999999	4473.602604	0.042402834	3546.634027	0.053003534	2986.536108	0.052816901	4014.869888	0.138461539
5772.011424	0.018518519	5215.830273	0.032142857	5779.192176	0.060070668	4294.084047	0.070671378	3923.296614	0.088028169	4014.869888	0.174358975
6889.596083	0.025925925	6334.720522	0.046428571	6712.6887	0.077738513	5040.881273	0.084805653	4484.700122	0.105633803	4282.527881	0.205128205
8007.180743	0.033333333	7826.356589	0.064285715	7647.490836	0.102473502	5975.683395	0.109540636	4861.362709	0.13028169	4550.185874	0.246153847
9125.418197	0.044444444	9317.992656	0.082142857	8582.945724	0.130742048	6540.350877	0.144876325	5614.035088	0.176056338	5085.501859	0.307692308
10243.65565	0.055555556	10624.8878	0.107142857	9331.048548	0.151943459	7104.365565	0.176678445	5805.956752	0.207746479	5353.159851	0.348717949
11363.19869	0.074074073	12117.82946	0.132142857	10267.80905	0.187279149	7667.074663	0.201413428	6371.27703	0.246478873	5620.817844	0.36923077
12482.08894	0.088888889	13798.77601	0.167857143	10830.51817	0.212014138	8045.695634	0.236749116	6747.939616	0.271126761	5620.817844	0.394871795
13600.97919	0.103703704	14923.54141	0.214285715	11023.09261	0.247349827	8611.668707	0.279151943	6752.50918	0.295774648	5888.475836	0.441025641
14533.82293	0.118518519	15484.29213	0.228571428	11401.06079	0.27915194	8988.984088	0.307420495	7317.829457	0.334507042	6156.133829	0.507692308
15840.06528	0.14074074	16607.75194	0.267857143	12151.12198	0.310954063	9182.211342	0.346289753	7323.051816	0.362676057	6156.133829	0.538461538
