m0:10uM_M0:0_L0:10000 X	m0:10uM_M0:0_L0:10000 Y	m0:12.8uM_M0:0_L0:10000 X	m0:12.8uM_M0:0_L0:10000 Y	m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:20uM_M0:0_L0:10000 X	m0:20uM_M0:0_L0:10000 Y	m0:10uM_M0:0.5uM_L0:10000 X	m0:10uM_M0:0.5uM_L0:10000 Y	m0:10uM_M0:2uM_L0:10000 X	m0:10uM_M0:2uM_L0:10000 Y
1454.545455	7.15E-18	727.2727273	4.24E-17	969.6969697	-3.48E-17	2666.666664	2.82E-17	1519.849624	0.0476	1522.556391	0.1667
2909.090909	7.15E-18	2909.090909	0.003759399	2666.666667	0.007407408	4848.48486	0.014981276	2658.045113	0.053073562	2662.105263	0.174829756
5333.333333	7.15E-18	4606.060606	0.003759399	4363.636364	0.018518518	6303.0303	0.044943817	4175.18797	0.058547126	3801.654135	0.182959512
7030.30303	0.003802281	6545.454545	0.015037593	5818.181818	0.033333333	7030.30302	0.063670405	6071.278195	0.064020689	4943.909774	0.199219024
8727.272727	0.003802281	7515.151515	0.018796992	7030.30303	0.048148148	7757.57574	0.086142324	7210.827068	0.074967816	5325.56391	0.207348781
10424.24242	0.015209125	8727.272727	0.030075188	8484.848485	0.059259259	8242.424244	0.093632956	8351.729323	0.091388505	6087.518797	0.219543414
11393.93939	0.019011406	9454.545455	0.033834586	8969.69697	0.077777778	8484.848496	0.112359544	9489.924812	0.096862069	6850.827068	0.235802927
13333.33333	0.030418251	10666.66667	0.048872181	10181.81818	0.107407407	8484.848496	0.116104865	10254.58647	0.124229885	7615.488722	0.256127316
14303.0303	0.038022814	11636.36364	0.060150376	11151.51515	0.125925926	8969.696964	0.12734082	11015.18797	0.135177011	8001.203008	0.276451707
15757.57576	0.049429657	12363.63636	0.071428571	11636.36364	0.151851852	8969.696964	0.134831463	11777.14286	0.151597701	8764.511278	0.29271122
16727.27273	0.05703422	13333.33333	0.086466166	12363.63636	0.177777778	9212.121216	0.15355805	12537.74436	0.162544828	9147.518797	0.304905853
17454.54545	0.072243346	13575.75758	0.093984962	13090.90909	0.196296297	9212.121216	0.15355805	13302.40602	0.189912644	9530.526316	0.317100488
18424.24242	0.087452471	14303.0303	0.109022556	13090.90909	0.237037037	9454.545468	0.17977528	13685.41353	0.206333333	9913.533835	0.329295122
19393.93939	0.102661597	14545.45455	0.120300752	14060.60606	0.266666667	9696.969684	0.194756556	14444.66165	0.211806896	10676.84211	0.345554634
20121.21212	0.121673004	15272.72727	0.142857143	14060.60606	0.285185185	10181.81819	0.209737822	14827.66917	0.228227587	10680.90226	0.357749268
20848.48485	0.129277566	16484.84848	0.157894737	14060.60606	0.314814814	10666.66666	0.232209741	15210.67669	0.244648275	11445.56391	0.378073659
21575.75758	0.148288973	16484.84848	0.169172932	15272.72727	0.337037037	10666.66666	0.250936328	16354.28571	0.272016091	11828.57143	0.390268292
22303.0303	0.16730038	16969.69697	0.187969925	15515.15152	0.359259259	10909.09091	0.262172282	17496.54135	0.293910344	12211.57895	0.402462927
22787.87879	0.174904943	17454.54545	0.199248121	16242.42424	0.385185186	11151.51516	0.284644191	17878.19549	0.304857472	12595.93985	0.418722439
23757.57576	0.201520912	18424.24242	0.22556391	16242.42424	0.407407407	11151.51516	0.292134834	17882.25564	0.32127816	13359.24812	0.434981952
