m0:67uM_M0:0_L0:10000 X	m0:67uM_M0:0_L0:10000 Y	m0:86uM_M0:0_L0:10000 X	m0:86uM_M0:0_L0:10000 Y	m0:143uM_M0:0_L0:10000 X	m0:143uM_M0:0_L0:10000 Y	m0:166uM_M0:0_L0:10000 X	m0:166uM_M0:0_L0:10000 Y	m0:177uM_M0:0_L0:10000 X	m0:177uM_M0:0_L0:10000 Y
94814.81481	-3.03E-17	118518.5185	-4.64E-18	47407.40741	1.01E-16	71111.11111	0	59259.25926	0
237037.037	-0.005608974	272592.5926	0.043637256	142222.2222	-0.036748364	154074.0741	0.230268422	130370.3704	0.057928999
320000	0.029963092	343703.7037	0.054607889	201481.4815	0.052184503	201481.4815	0.265767077	165925.9259	0.077221095
426666.6667	0.106886169	426666.6667	0.098111356	237037.037	0.133658091	260740.7407	0.363170146	201481.4815	0.282239148
509629.6296	0.177860334	521481.4815	0.239168729	296296.2963	0.370558685	284444.4444	0.416272641	225185.1852	0.403974383
687407.4074	0.455540987	604444.4444	0.358530113	355555.5556	0.526077029	355555.5556	0.716992799	320000	0.858893604
865185.1852	0.709620241	687407.4074	0.494146766	450370.3704	0.881443142	414814.8148	1	414814.8148	1
1054814.815	0.839816434	758518.5185	0.613485852	521481.4815	1				
1291851.852	0.952408702	841481.4815	0.727428813						
1481481.481	1	1019259.259	0.809039624						
		1185185.185	0.874372868						
		1362962.963	0.928891565						
		1718518.519	1						
