m0:10.6uM_M0:0_L0:10000 X	m0:10.6uM_M0:0_L0:10000 Y	m0:12.8uM_M0:0_L0:10000 X	m0:12.8uM_M0:0_L0:10000 Y	m0:15.9uM_M0:0_L0:10000 X	m0:15.9uM_M0:0_L0:10000 Y	m0:16.6uM_M0:0_L0:10000 X	m0:16.6uM_M0:0_L0:10000 Y	m0:22uM_M0:0_L0:10000 X	m0:22uM_M0:0_L0:10000 Y	m0:32.4uM_M0:0_L0:10000 X	m0:32.4uM_M0:0_L0:10000 Y	m0:36.3uM_M0:0_L0:10000 X	m0:36.3uM_M0:0_L0:10000 Y	m0:38.3uM_M0:0_L0:10000 X	m0:38.3uM_M0:0_L0:10000 Y	m0:60.8uM_M0:0_L0:10000 X	m0:60.8uM_M0:0_L0:10000 Y	m0:81.6uM_M0:0_L0:10000 X	m0:81.6uM_M0:0_L0:10000 Y
53939.25511	4.31E-17	64212.10192	3.42E-17	79618.45385	6.28E-17	43663.49001	6.21E-17	25689.89915	-2.87E-17	20554.44851	6.64E-17	17996.93721	-2.93E-17	17980.40021	-2.84E-17	7701.716814	2.72E-17	23125.5785	0
113018.8247	0.052380952	82191.52937	0.00754717	179802.0566	0.089552239	61639.99916	-0.003690037	59076.65128	-2.87E-17	61649.72681	0.014652015	61661.39999	0.018867925	56539.56805	0.135531136	38552.35848	0.115384615	28280.48444	0.06959707
146408.4951	0.066666667	182369.2955	0.075471698	277485.5412	0.440298508	169547.6923	0.158671587	74495.64915	0.036900369	84786.00572	0.098901099	87368.8089	0.116981132	72027.63221	0.432234432	54007.34864	0.27972028	61817.04235	0.633699634
238873.8441	0.114285714	274895.9287	0.350943396	519020.0096	0.910447761	274948.458	0.553505535	82209.03914	0.070110701	174839.7581	0.725274725	177415.7519	0.735849057	105471.7775	0.648351648	72059.73345	0.548951049	69556.69698	0.765567765
282567.4898	0.280952381	519008.3365	0.864150943	778430.7924	0.992537313	521596.0034	0.929889299	113049.9532	0.15498155	275052.5438	0.923076923	277621.7283	0.913207547	144050.4006	0.857142857	102952.204	0.814685315	105544.7348	0.89010989
351949.0891	0.476190476	775859.6624	0.981132076	935093.6518	1	773294.369	0.981549815	151630.5218	0.372693727	526754.8004	0.989010989	526754.8004	0.977358491	172312.4025	0.901098901	151778.3821	0.923076923	146652.6591	0.952380952
434193.1478	0.776190476	935093.6518	1			935096.5701	1	236478.7845	0.741697417	773306.0422	1	778444.4111	0.996226415	239103.4165	0.967032967	174898.124	0.944055944	177474.1178	0.963369963
529262.7007	1							457413.0845	1	937671.5912	1	937674.5095	1	285334.1455	0.978021978	236542.987	0.972027972	239113.1442	0.970695971
														349545.2747	1	282774.6887	0.986013986	285345.8187	0.989010989
																349548.1929	0.986013986	352120.2957	0.992673993
																434301.1247	0.993006993	439441.4391	1
																531895.1149	1	521624.2136	1
