m0:344uM_M0:0.172uM_L0:10000 X	m0:344uM_M0:0.172uM_L0:10000 Y	m0:344uM_M0:0.344uM_L0:10000 X	m0:344uM_M0:0.344uM_L0:10000 Y	m0:344uM_M0:0uM_L0:10000 X	m0:344uM_M0:0uM_L0:10000 Y
47.13105157	0.0005	0	0.001	1779.484581	4.36E-17
920.7798124	0.019269243	1507.810471	0.052709075	3368.52906	-0.000118428
1644.222295	0.022357152	2245.047408	0.094763641	5103.181665	0.003106048
2666.927796	0.053669449	3578.511306	0.188600068	6548.917093	0.006352057
3400.71612	0.085001894	4487.79574	0.308379417	7992.353445	0.002890724
4579.375588	0.147686937	5090.919928	0.379595072	9148.022156	0.002804594
5337.304206	0.244923305	6136.616186	0.476691262	10448.14946	0.002707698
6237.392337	0.335873034	7034.405242	0.564080951	12470.5697	0.002556972
7273.892293	0.404844716	7933.343835	0.654709606	14494.13949	0.005759916
7727.959741	0.461303568	8973.292404	0.735610966	15794.26679	0.00566302
8918.114588	0.55537143	9716.27703	0.793860361	17094.39409	0.005566124
9671.445054	0.64005467	10599.12209	0.839143495	18827.89715	0.00543693
11582.74331	0.730933876	11334.05995	0.874720129	20560.25068	0.001954065
12049.45567	0.821913831	12492.02774	0.881114876	22582.67093	0.001803338
12504.67266	0.881510964	13810.54765	0.932844749	24027.25682	0.001695676
13394.41495	0.944216156	14394.12969	0.948997986	26050.8266	0.00489862
14556.98089	0.96296525	15702.30376	0.971577165	28362.16403	0.004726361
16149.47398	0.972269273	17004.73014	0.977961514	30385.73381	0.007929304
17597.50848	0.981583372	18449.31602	0.977857534	32265.99454	0.014496685
19624.52688	0.993995454	21054.16878	0.990626234	33715.17858	0.027803706
21649.2462	1.000130971	22791.12046	1.000218357	35167.81124	0.051171739
23527.20786	1	24381.31448	1.003342945	35900.45002	0.081300944
		25824.75083	1	36923.15552	0.114762287
				37655.79431	0.144891492
				38394.18078	0.191789051
				38982.36098	0.221929022
				39573.98979	0.262130006
				40311.22673	0.305673894
				40902.85554	0.345874877
				41359.22206	0.412915992
				42104.50576	0.479935575
				43139.85618	0.550287296
				44018.10309	0.583759406
				44466.42285	0.627324826
				45200.21117	0.660807702
				46522.17969	0.724430549
				47254.81848	0.754559753
				47990.90588	0.794749972
				49161.51858	0.83826156
				50329.83221	0.875065808
				51347.93956	0.895112468
				52656.11363	0.918491267
				53965.43723	0.945223738
				54849.43183	0.9954642
				56298.61587	1.008771222
				58324.48473	1.018681507
				61507.17184	1.031859333
