m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y
4620.320856	-5.32E-18
15529.41176	-5.32E-18
29647.05882	0.02247191
46973.26203	0.02247191
58524.06417	0.011235955
78417.1123	-5.32E-18
92534.75936	-5.32E-18
104727.2727	0.011235955
122695.1872	0.011235955
132320.8556	0.02247191
141304.8128	0.033707865
150930.4813	0.033707865
159272.7273	0.02247191
167614.9733	0.033707865
174673.7968	0.04494382
180449.1979	0.04494382
188149.7326	0.04494382
197775.4011	0.08988764
205475.9358	0.134831461
214459.893	0.191011236
222802.139	0.280898876
229860.9626	0.370786517
240770.0535	0.471910112
247187.1658	0.539325843
258737.9679	0.617977528
268363.6364	0.674157303
276064.1711	0.730337079
286331.5508	0.797752809
297882.3529	0.865168539
306224.5989	0.898876405
317133.6898	0.921348315
326759.3583	0.943820225
338951.8717	0.966292135
347294.1176	0.988764045
353069.5187	1
