m0:0.3mg/mL_M0:0_L0:10000 X	m0:0.3mg/mL_M0:0_L0:10000 Y
34652.40642	0
46203.20856	-0.008130081
61604.27807	0.008130081
67379.67914	0.016260163
77005.34759	0.016260163
103957.2193	0.024390244
125133.6898	0.056910569
167486.631	0
211764.7059	0.032520325
248342.246	0.097560976
267593.5829	0.121951219
282994.6524	0.170731707
296470.5882	0.195121951
309946.5241	0.219512195
375401.0695	0.504065041
427379.6791	0.699186992
502459.893	0.869918699
537112.2995	0.93495935
610267.3797	1.06504065
