m0:3.7uM _M0:0_L0:10000X	m0:3.7uM_M0:0_L0:10000 Y	m0:7.4uM_M0:0_L0:10000 X	m0:7.4uM_M0:0_L0:10000 Y	m0:22uM_M0:0_L0:10000 X	m0:22uM_M0:0_L0:10000 Y	m0:74uM_M0:0_L0:10000 X	m0:74uM_M0:0_L0:10000 Y
-256.6191446	3.90E-18	256.6191446	0	-256.6191446	3.88E-18	-256.6191446	0
5132.382892	-0.010840109	5132.382892	-0.013477089	5389.002037	0.010781671	8468.431772	0.449864499
10521.38493	0.010840108	10521.38493	-0.013477089	10778.00407	0.045822103	15653.76782	0.742547425
15910.38697	-0.008130081	15140.52953	0.02425876	15397.14868	0.164420485	21556.00815	0.867208672
21556.00815	0.016260163	21812.62729	0.013477089	21556.00815	0.285714286	26945.01018	0.913279133
26945.01018	0.010840108	26688.39104	0.026954178	26688.39104	0.450134771	32077.39308	1.002710027
32334.01222	0.013550135	32077.39308	0.078167116	32077.39308	0.557951483	37466.39511	0.956639566
37979.6334	0.029810298	37723.01426	0.140161725	37466.39511	0.690026955	43368.63544	1
50040.7332	0.075880759	50040.7332	0.485175202	43625.25458	0.757412399		
61331.97556	0.138211382	61331.97556	0.638814017	53890.02037	0.892183288		
68260.69246	0.203252032	68260.69246	0.800539084	64668.02444	0.978436657		
75702.64766	0.422764228	75189.40937	0.894878706	75446.02851	1.021563343		
90586.55804	0.577235772	90329.9389	0.970350404	86480.65173	1		
101364.5621	0.883468835	100594.7047	1.02425876				
108036.6599	0.967479675	108036.6599	1.016172507				
115478.6151	1	115221.9959	1				
