5uM X	5uM Y	4uM X	4uM Y	3.5uM X	3.5uM Y	3uM X	3uM Y	2.5uM X	2.5uM Y	2uM X	2uM Y	1.75uM X	1.75uM Y	1.5uM X	1.5uM Y	1.35uM X	1.35uM Y	1.2uM X	1.2uM Y
0.0	0.00337321103941	0.0	0.00344261426831	0.0	0.00419098289371	0.0	0.00778185365026	0.0	0.00621438678343	0.0	0.00776592013628	0.0	0.0144461541995	0.0	0.0158288744247	0.0	0.0224508517711	0.0	0.0168870865236
0.0	0.00518435161206	0.0	0.00578395486819	0.0	0.00437641757874	0.0	0.00875596900814	0.0	0.00650796046178	0.0	0.00812416636353	0.0	0.0177660938974	0.0	0.0183603167064	0.0	0.0338393521283	0.0	0.0187463766059
0.0	0.0059953926316	0.0	0.00564383938124	0.0	0.00483996507323	0.0	0.00880625410197	0.0	0.00703301943021	0.0	0.00902136639409	0.0	0.0183514215545	0.0	0.019677188078	0.0	0.0246782119448	0.0	0.025509033367
0.0	0.00693739823969	0.0	0.00710217710339	0.0	0.00571822821168	0.0	0.0120549755841	0.0	0.00861958566883	0.0	0.0199722047879	0.0	0.0182003549447	0.0	0.0226015657863	0.0	0.0278648003909	0.095278	0.00115137780192
0.095278	-0.00693739823969	0.095278	-0.00710217710339	0.095278	-0.00571822821168	0.095278	-0.0120549755841	0.095278	-0.00861958566883	0.095278	-0.00902136639409	0.095278	-0.000302080579995	0.095278	-0.00303652871749	0.095278	0.0037413032686	0.095278	0.00137699361438
0.095278	-0.0059953926316	0.095278	-0.00564383938124	0.095278	-0.00483996507323	0.095278	-0.00880625410197	0.095278	-0.00703301943021	0.095278	-0.00812416636353	0.095278	6.36017681291e-05	0.095278	-0.00244850296018	0.095278	0.00775266890865	0.095278	0.00559363053464
0.095278	-0.00518435161206	0.095278	-0.00578395486819	0.095278	-0.00437641757874	0.095278	-0.00875596900814	0.095278	-0.00650796046178	0.095278	-0.00776592013628	0.095278	0.00435642054706	0.095278	-0.000937855077343	0.095278	0.0079505213214	0.19056	-0.0117241110587
0.095278	-0.00337321103941	0.095278	-0.00344261426831	0.095278	-0.00419098289371	0.095278	-0.00778185365026	0.095278	-0.00621438678343	0.095278	0.00136734510894	0.095278	0.00497232493512	0.095278	0.0010496281059	0.095278	0.00875176041158	0.19056	-0.00338926705073
0.19056	-0.00778795446893	0.19056	-0.0106027762444	0.19056	-0.0155798283407	0.19056	-0.019274400458	0.19056	-0.0106108051007	0.19056	-0.0180427327882	0.19056	-0.0100709675938	0.19056	-0.0103590509854	0.19056	-0.0165529957779	0.19056	-0.00263293284508
0.19056	-0.00700818801765	0.19056	-0.00750876022026	0.19056	-0.0138523130318	0.19056	-0.0164014248738	0.19056	-0.00906287864608	0.19056	-0.0117240342703	0.19056	-0.00642572030691	0.19056	-0.00371592478872	0.19056	-0.0129615198714	0.28583	-0.0105771267742
