CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
0.0	4.4253621888e-17	0.0	8.75000906055e-17	0.0	6.05777913272e-17	0.0	3.90134948518e-17	0.0	8.74058780511e-17	0.0	5.89788952444e-17
0.0	4.41026179667e-17	0.0	8.70756296619e-17	0.0	-1.52651958411e-17	0.0	3.53481558195e-17	0.0	8.57172205047e-17	0.0	5.73002469899e-17
0.0	3.32233520366e-17	0.0	5.99210996994e-17	0.0	-2.88304268598e-17	0.0	1.94322948532e-17	0.0	2.360024538e-17	0.0	4.05319858714e-17
0.0	2.26681788222e-17	0.0	3.80552925815e-17	0.0	-3.73031079133e-17	0.0	1.85200619964e-17	0.0	0.0	0.0	3.8442511114e-17
0.0	1.09607340205e-17	0.0	0.0	0.0	-4.34853155317e-17	0.0	0.0	0.0	-1.22812345167e-17	0.0	0.0
0.0	0.0	0.0	0.0	0.0	-4.38233046866e-17	0.0	-1.81894376988e-17	0.0	-4.86188583131e-17	0.0	-4.03196172086e-17
0.0	-2.15834719661e-17	0.0	-3.78510862383e-17	0.0	-4.51728312047e-17	0.0	-4.71165688469e-17	0.0	-8.72987655049e-17	0.0	-4.2761983288e-17
0.25	-0.00715442030885	0.25	-0.0141729021036	0.25	-0.0134361982854	0.25	-0.0147548809908	0.25	-0.0209914235949	0.25	0.0238400694465
0.25	-0.00750166850595	0.25	-0.013946167	0.25	-0.0145689594577	0.25	-0.0156431914615	0.25	-0.0219953422929	0.25	0.0212803921998
0.25	-0.00776229425345	0.25	-0.0165813560357	0.25	-0.0152727111458	0.25	-0.0178561683586	0.25	-0.0234989951721	0.25	0.0128779085815
0.25	-0.00837662363875	0.25	-0.0166253691902	0.25	-0.0152151674303	0.25	-0.0164022230977	0.25	-0.0243496920239	0.25	0.0117730950575
0.25	-0.00954110299505	0.25	-0.0207005264875	0.25	-0.0178747567416	0.25	-0.0181642712713	0.25	-0.0251287995288	0.25	0.0112927991856
0.25	-0.0103997986685	0.25	-0.0198090743513	0.25	-0.0167858788701	0.25	-0.0195510440014	0.25	-0.0245808713167	0.25	0.0118364457237
