Yang2017_5uM.txt: 5uM X	Yang2017_5uM.txt: 5uM Y	Yang2017_20uM.txt: 20uM X	Yang2017_20uM.txt: 20uM Y
318.2711198	0.000637002456058	318.2711198	0.00145981419373
1096.267191	0.00752625109418	954.8133595	0.00841714245875
2015.717092	0.0251734575654	1591.355599	0.0241665975822
3005.89391	0.0549536875536	2227.897839	0.0477867598829
4278.978389	0.0963120709028	2722.986248	0.0680118803379
5198.428291	0.114322018121	3218.074656	0.0882675774674
6117.878193	0.120615845785	3713.163065	0.110073947452
6825.147348	0.100631308765	4066.797642	0.113006428939
7532.416503	0.110478610232	4420.43222	0.114866525496
8168.958743	0.0827088725984	4774.066798	0.115352444667
8876.227898	0.0823189979791	4986.247544	0.105325008615
9442.043222	0.0501223423599	5339.882122	0.0974527843277
10290.76621	0.0462502087225	5622.789784	0.0876134092238
11068.76228	0.0251618291069	5976.424361	0.0729889909432
11988.21218	-0.00122257811164	6188.605108	0.0539329470847
13049.11591	-0.012194655487	6542.239686	0.0388372384209
13756.38507	-0.0505153474133	6754.420432	0.0170233562674
14958.74263	-0.0750222943617	7108.05501	0.00557806851899
16019.64637	-0.100198831988	7390.962672	-0.0106476867489
17222.00393	-0.0691778478222	7673.870334	-0.029788310031
19060.90373	-0.0444441693317	7956.777996	-0.0472752557601
19980.35363	-0.0283648991216	8310.412574	-0.0527804067924
21324.16503	-0.01857261658	8593.320236	-0.0696153159498
22880.15717	-0.0109289105359	8946.954813	-0.0680555393762
24082.51473	-0.01279802609	9371.316306	-0.0674258697565
25497.05305	-0.00991164149455	9654.223969	-0.0780917743806
26911.59136	-0.0214989906188	10007.85855	-0.0758384487363
28467.5835	-0.0178594838931	10502.94695	-0.0688920937606
30660.11788	-0.0199001619355	11068.76228	-0.0677154423023
32003.92927	-0.0271730563189	11493.12377	-0.0718431815922
33559.92141	-0.0349447000583	12129.66601	-0.0662220207867
35115.91356	-0.0266540287085	12766.20825	-0.0642295797473
		13473.47741	-0.0610059321513
		14322.20039	-0.0438618183389
		15241.65029	-0.0343934034537
		16514.73477	-0.0261995907398
		17575.63851	-0.0196499909726
		18707.26916	-0.0136072658123
		19768.17289	-0.00624990478265
		20687.62279	-0.0060767840358
		21819.25344	-0.00630760359786
		23092.33792	-0.00282578512979
		24294.69548	-0.00054978813249
		25426.32613	-0.00135531115548
		27053.04519	8.29118310486e-05
		28467.5835	0.00318374676997
		29811.39489	-0.000956203176099
		31155.20629	-0.00294666283429
		32499.01768	-0.000417252511229
		34125.73674	-0.000252325648692
		35540.27505	-0.00479249258444
