time / s	1uM
601.1787819	2.857142857
1449.901768	2.857142857
2298.624754	2.857142857
3430.255403	2.857142857
4561.886051	2.857142857
5339.882122	2.285714286
6117.878193	1.714285714
6825.147348	2
7532.416503	2.285714286
8416.502947	2.571428571
9300.589391	2.857142857
9901.768173	3.714285714
10502.94695	4.571428571
11210.21611	5.428571429
11917.48527	6.285714286
12624.75442	7.714285714
13332.02358	9.142857143
14145.3831	10.28571429
14958.74263	11.42857143
15807.46562	12.28571429
16656.18861	13.14285714
17469.54813	13.71428571
18282.90766	14.28571429
19273.08448	14.57142857
20263.2613	14.85714286
20970.53045	15.42857143
21677.79961	16
22455.79568	15.71428571
23233.79175	15.42857143
24153.24165	15.42857143
25072.69155	15.42857143
26062.86837	15.71428571
27053.04519	16
27972.49509	16
28891.94499	16
29776.03143	15.71428571
30660.11788	15.42857143
31579.56778	15.14285714
32499.01768	14.85714286
33666.01179	14.85714286
34833.00589	14.85714286
