time / s	20uM
318.2711198	5.714285714
954.8133595	6.857142857
1591.355599	8.571428571
2227.897839	10.85714286
2722.986248	13.71428571
3218.074656	17.71428571
3713.163065	22.28571429
4066.797642	29.14285714
4420.43222	36.57142857
4774.066798	44.57142857
4986.247544	52
5339.882122	62.28571429
5622.789784	71.42857143
5976.424361	83.42857143
6188.605108	93.14285714
6542.239686	105.1428571
6754.420432	115.4285714
7108.05501	126.2857143
7390.962672	136.5714286
7673.870334	147.4285714
7956.777996	157.7142857
8310.412574	166.2857143
8593.320236	176
8946.954813	182.2857143
9371.316306	189.7142857
9654.223969	197.1428571
10007.85855	202.2857143
10502.94695	208
11068.76228	215.4285714
11493.12377	221.7142857
12129.66601	227.4285714
12766.20825	233.1428571
13473.47741	238.2857143
14322.20039	240
15241.65029	242.8571429
16514.73477	246.2857143
17575.63851	248
18707.26916	249.1428571
19768.17289	249.1428571
20687.62279	250.2857143
21819.25344	251.4285714
23092.33792	251.4285714
24294.69548	251.4285714
25426.32613	252
27053.04519	252
28467.5835	251.4285714
29811.39489	252.5714286
31155.20629	253.1428571
32499.01768	252.5714286
34125.73674	252.5714286
35540.27505	253.7142857
