Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 Y	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 X	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 Y	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 X	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 Y	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 X	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 Y	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 X	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 Y	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 X	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 Y
559.4451244	0.000149246247471	372.745818	0.00010361343406	186.699312	4.0656861251e-05	560.0979192	0.00059975442163	558.1395349	0.000934041201634	0.0	3.52282305836e-18
1861.117911	0.00534965382009	1303.631171	-0.00230639625037	1863.729108	-0.0100481647089	1680.293758	-0.0156693299834	1304.936761	-0.00881909508201	1070.63197	-0.040521769109
2979.355365	-0.00318337026779	2794.614443	-0.0119920476063	3354.71238	-0.0145311070737	2985.230518	-0.0166247071818	2424.479804	-0.0116309779315	2408.921933	-0.046554773724
4467.727458	0.00216590710058	4098.245614	-0.0121478768116	4473.602604	-0.016888401901	3546.634027	-0.0254817708501	2986.536108	-0.0201933434184	4014.869888	0.0058216999401
5772.011424	-0.00234612376338	5215.830273	-0.0108319443958	5779.192176	-0.0146582046281	4294.084047	-0.027682868448	3923.296614	-0.0235113375775	4014.869888	-0.0300757355929
6889.596083	-0.00256448990643	6334.720522	-0.0140565498688	6712.6887	-0.0131560827955	5040.881273	-0.0212155678517	4484.700122	-0.0135182591618	4282.527881	-0.0305817557003
8007.180743	-0.00124824189303	7826.356589	-0.0125133241475	7647.490836	-0.0138174462587	5975.683395	-0.0113261265988	4861.362709	-0.0153494050313	4550.185874	-0.0374563525421
9125.418197	-0.00196653371204	9317.992656	-0.0047855128168	8582.945724	-0.0124975033462	6540.350877	-0.0202526305243	5614.035088	-0.00401889408937	5085.501859	-0.0199405693085
10243.65565	-0.000881966365331	10624.8878	-0.00155420544737	9331.048548	-0.00576605708038	7104.365565	-0.0211739908183	5805.956752	-0.0186095451704	5353.159851	-0.0170321784474
11363.19869	-0.00524223202007	12117.82946	0.0130014739446	10267.80905	-0.000605823441353	7667.074663	-0.01050519079	6371.27703	-0.00119639634858	5620.817844	0.00837614517718
12482.08894	-0.00382140869493	13798.77601	0.0314848756442	10830.51817	0.00188364713074	8045.695634	-0.019487505833	6747.939616	0.015890567371	5620.817844	-0.0172648802038
13600.97919	-0.00019188797612	14923.54141	0.0267906574701	11023.09261	-0.0236572967758	8611.668707	-0.0189638178155	6752.50918	-0.00823249470827	5888.475836	-0.0163783034491
14533.82293	0.00213108065852	15484.29213	0.03478546843	11401.06079	-0.0355622333848	8988.984088	-0.0165225175804	7317.829457	0.020697674004	6156.133829	-0.035792907469
15840.06528	0.00666983335098	16607.75194	0.0426462403595	12151.12198	-0.025458644333	9182.211342	-0.0391075323029	7323.051816	-0.00682538746543	6156.133829	-0.066562137926
16400.81599	0.00433945330398	17543.20685	0.0553468697637	12713.8311	-0.0169471140863	9746.878825	-0.0251236392318	7516.27907	-0.0214690417655	6156.133829	-0.092203164322
17146.96042	0.0107609028285	18109.83272	0.0345366061179	13277.84576	-0.0142211572295	10126.80539	-0.0332971839875	8268.298654	0.0315550985632	6959.107807	0.0169807694221
18080.45696	0.0156257011953	18860.54672	0.0331894058372	13470.42024	-0.0375551567107	10690.82007	-0.0135887908823	9020.318237	0.0816852462211	6959.107807	-0.00353205088194
19572.74582	0.0339441261823	19612.5663	0.0249311144375	13847.73563	-0.0420802971714	11256.79315	-0.0044990590219	9399.592003	0.0865762339337	7226.765799	0.00623515355703
20506.89514	0.038896298351	20179.84496	0.000939414968922	14411.0975	-0.0345522074482	11446.75643	-0.00865374880945	9591.513668	0.0759614693116	7494.423792	0.0131466025697
21254.99796	0.0393077530798	21117.91106	0.00052069046386	14975.76499	-0.0339384361021	11826.68299	-0.0175433044611	9600.0	0.0311020552094	7494.423792	-0.0176226278873
21817.05426	0.0345375460245	22055.97715	-0.00109010631568	15541.08527	-0.0371236697724	12203.34557	-0.0100295043789	9976.662587	0.0455823465828	7494.423792	-0.0535200634203
22939.20849	0.036998329263	22619.33905	-0.0056641157125	16291.79928	-0.0261406825064	12768.01306	0.000700878976406	10355.28356	0.0466343204897	7762.081784	-0.0393717849924
