Time /s	10 uM
1454.545455	0.011070111
2909.090909	0.011070111
5333.333333	0.011070111
7030.30303	0.014760148
8727.272727	0.014760148
10424.24242	0.025830258
11393.93939	0.029520295
13333.33333	0.040590406
14303.0303	0.04797048
15757.57576	0.05904059
16727.27273	0.066420664
17454.54545	0.081180812
18424.24242	0.095940959
19393.93939	0.110701107
20121.21212	0.129151292
20848.48485	0.136531365
21575.75758	0.15498155
22303.0303	0.173431734
22787.87879	0.180811808
23757.57576	0.206642066
24000	0.217712177
24727.27273	0.236162362
24969.69697	0.250922509
25454.54545	0.265682657
25939.39394	0.284132841
26666.66667	0.302583026
27151.51515	0.313653137
28121.21212	0.350553506
28363.63636	0.354243542
29333.33333	0.380073801
29333.33333	0.391143911
30060.60606	0.413284133
30303.0303	0.420664207
31030.30303	0.442804428
31272.72727	0.457564576
31515.15152	0.472324723
32484.84848	0.487084871
33696.9697	0.516605166
34181.81818	0.535055351
35151.51515	0.557195572
35393.93939	0.579335793
36121.21212	0.601476015
37333.33333	0.623616236
38060.60606	0.642066421
39030.30303	0.660516605
39272.72727	0.671586716
40484.84848	0.686346863
41454.54545	0.708487085
41696.9697	0.712177122
42424.24242	0.726937269
43151.51515	0.741697417
44363.63636	0.763837638
44848.48485	0.778597786
45333.33333	0.789667897
46060.60606	0.79704797
46545.45455	0.804428044
46787.87879	0.811808118
48242.42424	0.822878229
49212.12121	0.84501845
50181.81818	0.856088561
51151.51515	0.870848708
52848.48485	0.885608856
54787.87879	0.896678967
55515.15152	0.900369004
56484.84848	0.918819188
57696.9697	0.933579336
59393.93939	0.94095941
61333.33333	0.95202952
62787.87879	0.955719557
64484.84848	0.966789668
66181.81818	0.974169742
67393.93939	0.974169742
69333.33333	0.981549815
71030.30303	0.981549815
