Time /s	10 uM Ex45
186.699312	0.00350877
1863.729108	0.01754386
3354.71238	0.03157895
4473.602604	0.04561404
5779.192176	0.06315789
6712.6887	0.08070175
7647.490836	0.10526316
8582.945724	0.13333333
9331.048548	0.15438596
10267.80905	0.18947368
10830.51817	0.21403509
11023.09261	0.24912281
11401.06079	0.28070175
12151.12198	0.3122807
12713.8311	0.33684211
13277.84576	0.36842105
13470.42024	0.40350877
13847.73563	0.43157895
14411.0975	0.45964912
14975.76499	0.49473684
15541.08527	0.53333333
16291.79928	0.56842105
16298.3272	0.60350877
16674.9898	0.62807018
17051.6524	0.65263158
17428.96778	0.68070175
17804.97756	0.70175439
18180.98734	0.72280702
18370.29784	0.74035088
18933.65975	0.76842105
19309.66952	0.78947368
19874.33701	0.8245614
20621.78701	0.84210526
21555.28357	0.85964912
23047.57242	0.88070175
24167.11547	0.89824561
26218.19664	0.92280702
26404.89595	0.92631579
28640.06528	0.94035088
30316.44226	0.95087719
31434.02694	0.95789474
33482.49692	0.96842105
34971.52183	0.97192982
36646.59312	0.9754386
38322.31752	0.98245614
39996.7362	0.98245614
41485.10796	0.98245614
43532.27244	0.98596491
45579.43692	0.98947368
46510.3224	0.99298246
49487.06664	0.99298246
53580.08988	0.99298246
54696.36888	0.99298246
59719.62456	0.99298246
61580.0898	0.99298246
65859.1596	0.99298246
69022.60308	0.99649123
