Time /s	8 uM Ex45
372.745818	0.003508772
1303.631171	0.007017544
2794.614443	0.021052632
4098.245614	0.028070175
5215.830273	0.035087719
6334.720522	0.049122807
7826.356589	0.066666667
9317.992656	0.084210526
10624.8878	0.10877193
12117.82946	0.133333333
13798.77601	0.168421053
14923.54141	0.214035088
15484.29213	0.228070175
16607.75194	0.266666667
17543.20685	0.294736842
18109.83272	0.340350877
18860.54672	0.375438596
19612.5663	0.41754386
20179.84496	0.466666667
21117.91106	0.50877193
22055.97715	0.550877193
22619.33905	0.578947368
24118.15585	0.635087719
24867.56426	0.663157895
25616.97266	0.69122807
26553.08038	0.722807018
27488.53529	0.750877193
28610.03672	0.778947368
29730.88535	0.803508772
31596.57283	0.831578947
33647.65402	0.856140351
36260.13872	0.898245614
33464.21869	0.870175439
36448.79641	0.912280702
38122.56222	0.90877193
40174.29621	0.936842105
41850.67319	0.947368421
43899.14321	0.957894737
45947.61322	0.968421053
48926.31579	0.978947368
51531.61975	0.98245614
54322.31742	0.98245614
56555.52836	0.985964912
60462.5051	0.985964912
63067.15626	0.985964912
65113.66789	0.985964912
68090.41208	0.985964912
70509.01673	0.985964912
