Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37 X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37 Y	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37 X	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37 Y	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37 X	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37 Y	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37 X	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37 Y	Kar2011_Fig3B_22uM.txt: 22 uM Q37 X	Kar2011_Fig3B_22uM.txt: 22 uM Q37 Y	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37 X	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37 Y	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37 X	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37 Y	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37 X	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37 Y	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37 X	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37 Y	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37 X	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37 Y
53939.25511	4.31460496983e-17	64212.10192	3.41912091935e-17	79618.45385	6.27871618719e-17	43663.49001	6.20921010361e-17	25689.89915	-2.86578927859e-17	20554.44851	6.63785379948e-17	17996.93721	-2.9306750736e-17	17980.40021	-2.84479448549e-17	7701.716814	2.71548564512e-17	23125.5785	0.0
113018.8247	0.0523809523912	82191.52937	0.00754716981049	179802.0566	0.0895522388071	61639.99916	-0.00369003689977	59076.65128	-2.86578927859e-17	61649.72681	0.0146520146611	61661.39999	0.0188679245254	56539.56805	0.135531135517	38552.35848	0.115384615367	28280.48444	0.0695970696294
146408.4951	0.0666666666759	182369.2955	0.0754716981159	277485.5412	0.440298507524	169547.6923	0.158671586744	74495.64915	0.0369003690085	84786.00572	0.0989010988905	87368.8089	0.116981132101	72027.63221	0.432234432242	54007.34864	0.279720279728	61817.04235	0.633699633648
238873.8441	0.114285714347	274895.9287	0.350943396188	519020.0096	0.910447761204	274948.458	0.553505535074	82209.03914	0.0701107011065	174839.7581	0.725274725251	177415.7519	0.735849056534	105471.7775	0.648351648389	72059.73345	0.548951048969	69556.69698	0.765567765496
282567.4898	0.280952380933	519008.3365	0.864150943411	778430.7924	0.992537313434	521596.0034	0.929889298851	113049.9532	0.15498154979	275052.5438	0.923076923139	277621.7283	0.913207547128	144050.4006	0.857142857105	102952.204	0.814685314663	105544.7348	0.890109890126
351949.0891	0.476190476227	775859.6624	0.981132075529	935093.6518	1.0	773294.369	0.981549815447	151630.5218	0.372693726931	526754.8004	0.989010989066	526754.8004	0.97735849057	172312.4025	0.901098901163	151778.3821	0.923076923089	146652.6591	0.952380952335
434193.1478	0.776190476275	935093.6518	1.0			935096.5701	1.0	236478.7845	0.741697416908	773306.0422	1.0	778444.4111	0.99622641504	239103.4165	0.96703296709	174898.124	0.944055944064	177474.1178	0.963369963375
529262.7007	1.0							457413.0845	1.0	937671.5912	1.0	937674.5095	1.0	285334.1455	0.978021978024	236542.987	0.972027972032	239113.1442	0.9706959707
														349545.2747	1.0	282774.6887	0.986013986016	285345.8187	0.989010988959
																349548.1929	0.986013986016	352120.2957	0.992673992675
																434301.1247	0.993006993008	439441.4391	1.0
																531895.1149	1.0	521624.2136	1.0
