Time /s	50 uM
241.0041841	0.058823529
723.0125523	0.054621849
1687.029289	0.054621849
2410.041841	0.054621849
3374.058577	0.058823529
3856.066946	0.058823529
4338.075314	0.06302521
4820.083682	0.06302521
5483.831809	0.070719376
5483.831809	0.079162182
5645.255437	0.089012122
5725.96725	0.1044906
5887.390878	0.114340541
6048.814505	0.128411884
6210.238132	0.142483228
6290.949946	0.160775974
6452.373573	0.174847318
6613.7972	0.190325796
6855.932641	0.207211408
7017.356268	0.226911289
7178.779896	0.242389767
7420.915337	0.263496782
7420.915337	0.27897526
7501.62715	0.297268007
7743.762591	0.321189291
7743.762591	0.338074903
7905.186218	0.354960516
8066.609846	0.374660397
8066.609846	0.398581681
8389.4571	0.418281562
8470.168914	0.440795711
8470.168914	0.459088458
8631.592541	0.480195473
8873.727982	0.499895354
8954.439795	0.522409504
9115.863423	0.544923654
9277.28705	0.570252072
9438.710677	0.602616162
9680.846118	0.630758849
9761.557932	0.66312294
9922.981559	0.692672761
10245.82881	0.730665389
10407.25244	0.761622344
10730.0997	0.798207838
11295.08239	0.822129122
12102.20053	0.846050406
12909.31866	0.874193093
13797.14861	0.905150049
14523.55494	0.92484993
15653.52033	0.937514139
16864.19753	0.951585482
17752.02748	0.962842557
18881.99287	0.968471095
20011.95826	0.974099632
20819.0764	0.976913901
21949.04179	0.983949573
22675.44811	0.986763841
23643.98988	0.992392379
24612.53164	0.998020916
24935.37889	0.999428051
25742.49703	0.999428051
27033.88605	1.002242319
28809.54595	1.002242319
30181.64678	1.002242319
32199.44212	1.002242319
34297.94927	0.999428051
36073.60917	1.000835185
37768.55726	1.000835185
40512.75892	1.000835185
43741.23147	1.000835185
46485.43313	1.000835185
49633.19386	1.000835185
53749.49636	1.006463722
57058.68072	1.000835185
