Time /s	50 uM
338.4716733	4.668731231
1145.454545	4.668731231
2298.28722	10.53397147
3451.119895	13.46659159
4488.669302	13.46659159
5756.785244	16.39921171
7255.467721	28.12969219
8177.73386	28.12969219
9215.283267	33.99493243
10137.54941	42.79279279
10944.53228	51.59065315
12097.36495	66.25375375
13019.63109	69.18637387
13826.61397	77.98423423
14633.59684	92.64733483
15440.57971	101.4451952
16593.41238	110.2430556
17054.54545	121.973536
17630.96179	139.5692568
18553.22793	148.3671171
19244.92754	171.8280781
19936.62714	192.3564189
20628.32675	207.0195195
21320.02635	230.4804805
22011.72596	248.0762012
22818.70883	265.6719219
23395.12516	292.065503
24086.82477	315.526464
24663.24111	333.1221847
25470.22398	356.5831456
26046.64032	374.1788664
26507.77339	391.7745871
27430.03953	418.1681682
28352.30567	444.5617492
29044.00527	468.0227102
29850.98814	488.5510511
30542.68775	506.1467718
31349.67062	523.7424925
32271.93676	541.3382132
32963.63636	558.9339339
33655.33597	567.7317943
34577.60211	582.3948949
35269.30171	591.1927553
36076.28458	599.9906156
37113.83399	614.6537162
38266.66667	623.4515766
39188.93281	635.1820571
40226.48221	643.9799174
41264.03162	652.7777778
42186.29776	661.5756381
43223.84717	676.2387387
44030.83004	676.2387387
44953.09618	682.103979
45875.36232	690.9018393
46797.62846	699.6996997
47835.17787	705.5649399
48872.72727	708.4975601
50140.84321	699.6996997
