CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
0.0	-4.4253621888e-17	0.0	-8.75000906055e-17	0.0	-6.05777913272e-17	0.0	-3.90134948518e-17	0.0	-8.74058780511e-17	0.0	-5.89788952444e-17
0.0	-4.41026179667e-17	0.0	-8.70756296619e-17	0.0	1.52651958411e-17	0.0	-3.53481558195e-17	0.0	-8.57172205047e-17	0.0	-5.73002469899e-17
0.0	-3.32233520366e-17	0.0	-5.99210996994e-17	0.0	2.88304268598e-17	0.0	-1.94322948532e-17	0.0	-2.360024538e-17	0.0	-4.05319858714e-17
0.0	-2.26681788222e-17	0.0	-3.80552925815e-17	0.0	3.73031079133e-17	0.0	-1.85200619964e-17	0.0	0.0	0.0	-3.8442511114e-17
0.0	-1.09607340205e-17	0.0	0.0	0.0	4.34853155317e-17	0.0	0.0	0.0	1.22812345167e-17	0.0	0.0
0.0	0.0	0.0	0.0	0.0	4.38233046866e-17	0.0	1.81894376988e-17	0.0	4.86188583131e-17	0.0	4.03196172086e-17
0.0	2.15834719661e-17	0.0	3.78510862383e-17	0.0	4.51728312047e-17	0.0	4.71165688469e-17	0.0	8.72987655049e-17	0.0	4.2761983288e-17
0.25	0.0109225776383	0.25	0.0173269319741	0.25	0.0159915117627	0.25	0.0167296085008	0.25	0.0224076670035	0.25	-0.0229537643233
0.25	0.0112698258354	0.25	0.0171001968705	0.25	0.017124272935	0.25	0.0176179189715	0.25	0.0234115857015	0.25	-0.0203940870766
0.25	0.0115304515829	0.25	0.0197353859062	0.25	0.0178280246231	0.25	0.0198308958686	0.25	0.0249152385807	0.25	-0.0119916034583
0.25	0.0121447809682	0.25	0.0197793990607	0.25	0.0177704809076	0.25	0.0183769506077	0.25	0.0257659354325	0.25	-0.0108867899343
0.25	0.0133092603245	0.25	0.023854556358	0.25	0.0204300702189	0.25	0.0201389987813	0.25	0.0265450429374	0.25	-0.0104064940624
0.25	0.014167955998	0.25	0.0229631042218	0.25	0.0193411923474	0.25	0.0215257715114	0.25	0.0259971147253	0.25	-0.0109501406005
