CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
0.0	-2.84232624214e-15	0.0	8.75000906055e-17	0.0	6.05777913272e-17	0.0	3.90134948518e-17	0.0	1.75274041499e-15	0.0	5.89788952444e-17
0.0	-2.84247724606e-15	0.0	8.70756296619e-17	0.0	-1.52651958411e-17	0.0	3.53481558195e-17	0.0	1.75105175744e-15	0.0	5.73002469899e-17
0.0	-2.85335651199e-15	0.0	5.99210996994e-17	0.0	-2.88304268598e-17	0.0	1.94322948532e-17	0.0	1.68893478232e-15	0.0	4.05319858714e-17
0.0	-2.8639116852e-15	0.0	3.80552925815e-17	0.0	-3.73031079133e-17	0.0	1.85200619964e-17	0.0	1.66533453694e-15	0.0	3.8442511114e-17
0.0	-2.87561913e-15	0.0	0.0	0.0	-4.34853155317e-17	0.0	0.0	0.0	1.65305330242e-15	0.0	0.0
0.0	-2.88657986403e-15	0.0	0.0	0.0	-4.38233046866e-17	0.0	-1.81894376988e-17	0.0	1.61671567862e-15	0.0	-4.03196172086e-17
0.0	-2.90816333599e-15	0.0	-3.78510862383e-17	0.0	-4.51728312047e-17	0.0	-4.71165688469e-17	0.0	1.57803577143e-15	0.0	-4.2761983288e-17
0.25	-0.00696666333987	0.25	-0.0140370959909	0.25	-0.0133470044896	0.25	-0.0147060052267	0.25	-0.0209752190701	0.25	0.0238333474117
0.25	-0.00731391153697	0.25	-0.0138103608873	0.25	-0.0144797656619	0.25	-0.0155943156974	0.25	-0.0219791377681	0.25	0.021273670165
0.25	-0.00757453728447	0.25	-0.016445549923	0.25	-0.01518351735	0.25	-0.0178072925945	0.25	-0.0234827906473	0.25	0.0128711865467
0.25	-0.00818886666977	0.25	-0.0164895630775	0.25	-0.0151259736345	0.25	-0.0163533473336	0.25	-0.0243334874991	0.25	0.0117663730227
0.25	-0.00935334602607	0.25	-0.0205647203748	0.25	-0.0177855629458	0.25	-0.0181153955072	0.25	-0.025112595004	0.25	0.0112860771508
0.25	-0.0102120416996	0.25	-0.0196732682386	0.25	-0.0166966850743	0.25	-0.0195021682373	0.25	-0.0245646667919	0.25	0.0118297236889
0.25	-0.0122454689112	0.25	-0.0204696056879	0.25	-0.0191225501403	0.25	-0.0204846320393	0.25	-0.0255691925255	0.25	0.010220470286
0.5	0.00308614208948	0.5	-0.00792305679208	0.5	-0.00826778908641	0.5	-0.0102302945032	0.5	-0.0151972663572	0.5	0.0279872246462
0.5	0.00267920429708	0.5	-0.00860692966778	0.5	-0.00924486573471	0.5	-0.0098210822426	0.5	-0.0166569638654	0.5	0.0265506530441
0.5	0.000765403855676	0.5	-0.00951392501008	0.5	-0.0101643159475	0.5	-0.0108473272431	0.5	-0.0197088210441	0.5	0.0178038818849
0.5	0.000171674750076	0.5	-0.0107093282063	0.5	-0.00990945895091	0.5	-0.0153240243592	0.5	-0.0219078600007	0.5	0.0155301877138
0.5	-0.000390609979624	0.5	-0.0130910162494	0.5	-0.0105146870269	0.5	-0.0145486277072	0.5	-0.0207189537247	0.5	0.0161601923426
