Time (hrs)	seed 0nM	seed 0nM	seed 0nM	seed 1nM	seed 1nM	seed 1nM	seed 10nM	seed 10nM	seed 10nM	seed 100nM	seed 100nM	seed 100nM
0.00	39.087	40.218	39.613	43.258	43.058	45.104	45.303	42.202	43.735	47.233	43.873	43.281
0.08	39.278	39.72	39.751	43.601	42.658	43.902	45.496	42.445	43.27	47.547	44.377	42.718
0.17	38.724	39.852	39.418	43.419	42.468	43.518	44.856	42.07	42.762	47.92	43.842	43.607
0.25	39.216	39.963	39.309	43.617	42.414	42.999	45.207	42.343	42.736	47.768	44.727	43.588
0.33	38.886	40.312	39.612	42.726	41.954	43.119	45.639	42.476	42.428	47.675	43.692	42.831
0.42	38.807	40.221	40.218	44.071	42.389	42.672	45.573	42.536	42.666	48.23	45.109	43.416
0.50	39.683	39.993	39.33	42.779	42.497	41.985	44.981	41.226	42.955	48.252	44.624	43.101
0.58	38.894	41.219	40.39	43.856	42.259	42.14	45.326	42.145	42.861	47.993	45.194	43.7
0.67	38.765	40.656	39.884	42.845	42.827	42.807	45.55	42.439	42.869	48.838	44.488	43.339
0.75	38.777	40.77	40.179	43.246	42.688	41.535	45.727	42.339	42.968	49.11	44.888	44.158
0.83	39.611	41.048	40.541	44.291	42.56	41.607	46.026	42.51	43.364	50.238	45.633	43.386
0.92	39.726	40.734	40.324	43.793	42.783	42	46.045	42.872	43.337	49.479	46.289	45.133
1.00	39.66	41.536	41.785	44.747	42.864	41.997	46.357	43.321	43.915	50.607	46.073	45.083
1.08	39.857	42.207	41.213	44.391	43.185	42.586	47.548	43.511	43.577	50.554	46.752	45.612
1.17	40.241	42.353	41.302	44.843	44.081	42.435	46.402	43.646	43.829	51.031	46.99	44.628
1.25	40.588	41.647	41.607	44.318	44.101	42.571	46.933	43.596	43.652	51.171	46.768	45.609
1.33	40.347	42.841	41.641	45.192	43.485	42.592	47.905	44.092	43.463	51.706	47.557	45.727
1.42	40.703	42.152	41.697	45.384	44.577	42.362	47.411	43.912	44.05	51.84	47.603	46.411
1.50	40.325	42.889	41.952	45.501	45.002	42.084	47.711	43.833	44.371	52.558	48.295	46.126
1.58	40.962	42.882	41.717	45.01	44.616	42.449	48.261	44.689	44.469	52.306	47.589	45.871
1.67	41.627	43.067	42.73	44.968	44.872	41.83	48.309	44.362	45.535	52.645	47.985	46.583
1.75	41.761	42.883	42.602	45.133	45.905	42.077	48.121	44.51	44.924	53.414	48.903	46.315
1.83	40.729	43.749	43.197	45.05	45.268	41.974	47.928	45.191	44.783	53.529	49.325	47.635
1.92	41.634	43.576	42.878	46.404	46.095	41.169	48.351	44.997	45.058	53.569	49.174	46.547
2.00	42.725	44.051	43.325	46.804	46.565	42.692	49.09	45.049	46.629	53.675	49.538	48.311
2.08	41.889	43.276	43.836	46.48	45.966	42.067	48.477	45.327	45.807	54.46	50.516	48.041
2.17	41.705	44.198	43.137	46.821	45.6	42.435	48.194	46.221	46.06	54.057	50.245	48.47
2.25	42.79	44.341	43.962	47.408	46.676	41.863	49.584	45.965	45.808	55.478	50.683	48.76
2.33	42.665	44.57	43.63	47.122	46.827	41.91	49.388	45.53	46.106	55.432	50.971	49.065
2.42	42.778	45.276	44.802	47.554	46.101	42.163	49.604	46.322	46.353	55.425	51.463	49.803
2.50	43.095	45.037	44.977	47.703	47.213	41.072	49.937	46.871	47.227	56.067	52.382	49.731
2.58	42.955	45.238	43.812	47.931	46.835	40.808	50.147	46.832	47.175	56.054	52.18	49.865
2.67	43.537	45.71	45.563	47.427	47.68	41.526	50.123	47.214	46.476	56.734	52.93	49.799
2.75	44.214	46.111	44.689	48.728	48.441	42.107	50.696	47.837	47.43	56.747	52.814	50.622
