time / s	5uM
318.2711198	2.857142857
1096.267191	2.857142857
2015.717092	2.857142857
3005.89391	2.857142857
4278.978389	4
5198.428291	6.857142857
6117.878193	11.42857143
6825.147348	17.71428571
7532.416503	21.14285714
8168.958743	28
8876.227898	32.57142857
9442.043222	39.42857143
10290.76621	45.14285714
11068.76228	52
11988.21218	60
13049.11591	66.85714286
13756.38507	74.28571429
14958.74263	82.28571429
16019.64637	89.14285714
17222.00393	90.28571429
19060.90373	93.14285714
19980.35363	93.71428571
21324.16503	95.42857143
22880.15717	97.14285714
24082.51473	98.85714286
25497.05305	100
26911.59136	102.2857143
28467.5835	102.8571429
30660.11788	104
32003.92927	105.1428571
33559.92141	106.2857143
35115.91356	105.7142857
