Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4 Y
2456.606435	0.0251488947278
15387.11628	0.0280368817623
25085.67878	0.0438156596818
33973.53396	0.084772318001
42053.4023	0.129152801581
52562.67213	0.160250124362
63069.22147	0.212311055656
71976.1201	0.153916799459
80874.85726	0.144787392646
90587.02223	0.104804010143
101107.174	0.0656798550015
108392.658	0.0214527751502
116488.8493	-0.0381444744536
123771.6128	-0.0710297859568
134286.3236	-0.0931911446639
146425.1696	-0.16503302406
155321.1863	-0.185885468921
171489.0844	-0.190295392934
180379.6601	-0.185577113103
