Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_5kDa_24uM.txt: 24 uM 5 kDa pH 7.4 Y
2456.606435	-0.0246073210818
15387.11628	-0.0071502729531
25085.67878	0.0101393214944
33973.53396	0.0105998191433
42053.4023	0.0110184533973
52562.67213	0.0451371445924
63069.22147	0.0624686024348
71976.1201	0.180439733451
80874.85726	0.248049164206
90587.02223	0.349274925265
101107.174	0.450542549973
108392.658	0.534855487291
116488.8493	0.63599752156
123771.6128	0.703523226085
134286.3236	0.77121638368
146425.1696	0.88935496848
155321.1863	0.940177165984
171489.0844	0.991376134296
180379.6601	1.0086238657
