Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4 Y	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4 Y
4886.007926	-3.78097002917e-17	1659.501579	5.10467275409e-17
13779.30409	0.0177992819093	9733.928931	-0.0117050100948
19435.21193	0.017952535256	17813.79727	-0.011557219561
25901.8271	0.0269069095374	24283.13293	0.000413813498269
32376.60375	0.0621989666361	27531.40324	0.0360313315904
38851.3804	0.0974910236815	30782.39404	0.0775752500418
47752.83805	0.141627988541	36457.34533	0.119163505567
52611.64103	0.176876258814	41329.75079	0.17258978275
59902.566	0.238527892209	45388.72842	0.21414848019
66382.78364	0.291378404298	47829.01189	0.24975121924
73679.14959	0.370588492869	51082.72318	0.297221538033
80167.52872	0.449776687988	56768.55646	0.362515394779
85842.48002	0.511384534477	61640.96191	0.415941671962
93946.83281	0.590616516236	62484.31517	0.492999655244
101237.7578	0.652268149632	67364.88211	0.564205133343
109333.9491	0.705162448626	71437.46222	0.635395832309
118238.1272	0.758078640808	73885.90717	0.688777772275
128758.279	0.811038619896	77147.77994	0.754027291984
138465.003	0.846418250354	81209.47807	0.801512389729
149790.4212	0.890620895041	86884.42937	0.843100645434
158686.4378	0.917199404459	90937.96601	0.872806542263
169201.1487	0.95260092837	101458.1178	0.908557071739
180518.4053	0.970465890293	108740.8813	0.932395684613
191030.3956	0.997088186351	116831.6316	0.95624907626
199929.1328	1.03244592336	124117.1156	0.98601408944
		132202.4249	0.998014680477
		141906.4284	1.01597123008
