Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4 Y	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4 Y
4886.007926	0.00303124519797	1659.501579	0.000545145071459
13779.30409	0.0059666587179	9733.928931	0.0302302726522
19435.21193	0.0285766784885	17813.79727	0.0718004151491
25901.8271	0.0537267194802	24283.13293	0.10765913466
32376.60375	0.0599344414691	27531.40324	0.0999596076301
38851.3804	0.0719864797269	30782.39404	0.0884617828887
47752.83805	0.0995700549937	36457.34533	0.103197654148
52611.64103	0.105425806529	41329.75079	0.10074775402
59902.566	0.10642058679	45388.72842	0.102580072284
66382.78364	0.108969705301	47829.01189	0.0931831071401
73679.14959	0.09049361983	51082.72318	0.080535560314
80167.52872	0.0629739467429	56768.55646	0.0750557490931
85842.48002	0.0442733909426	61640.96191	0.0711032174241
93946.83281	0.0220960738876	62484.31517	0.00239481213593
101237.7578	0.00722799826294	67364.88211	-0.0219234609335
109333.9491	0.00112790156223	71437.46222	-0.0560360290994
118238.1272	-0.00645871206491	73885.90717	-0.0880907762433
128758.279	-0.0136446320812	77147.77994	-0.126096693645
138465.003	-0.0135693750503	81209.47807	-0.141563659273
149790.4212	-0.0235987464975	86884.42937	-0.141979955779
158686.4378	-0.0280228941245	90937.96601	-0.144788212152
169201.1487	-0.0417400097638	101458.1178	-0.120014967198
180518.4053	-0.0408235118185	108740.8813	-0.109175572342
191030.3956	-0.0534723322686	116831.6316	-0.100594303714
199929.1328	-0.0791482190262	124117.1156	-0.105951504837
		132202.4249	-0.0954288491014
		141906.4284	-0.0916626277184
