Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_8kDa_16uM.txt: 16 uM 8 kDa pH 7.4 Y	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4 X	Solomon2009_Fig1D_pH7-4_8kDa_24uM.txt: 24 uM 8 kDa pH 7.4 Y
4886.007926	0.00116058449704	1659.501579	0.000242329964704
13779.30409	-0.0085288081846	9733.928931	0.0201126256399
19435.21193	0.000691935947079	17813.79727	0.0408156922343
25901.8271	0.00685077595383	24283.13293	0.0566229443657
32376.60375	-0.00810401692171	27531.40324	0.0393872887502
38851.3804	-0.0172344061635	30782.39404	0.0195947206702
47752.83805	-0.0147587471838	36457.34533	0.0248108309848
52611.64103	-0.0189476467262	41329.75079	0.0211698474771
59902.566	-0.0263061314889	45388.72842	0.0279481116008
66382.78364	-0.0234104585356	47829.01189	0.0242622358304
73679.14959	-0.0324884660999	51082.72318	0.0223505986111
80167.52872	-0.0444116034306	56768.55646	0.0431747412059
85842.48002	-0.0450840448954	61640.96191	0.0672546992234
93946.83281	-0.0371992800749	62484.31517	0.00370030246342
101237.7578	-0.0238325795029	67364.88211	0.00968338093522
109333.9491	-0.000730618556331	71437.46222	-1.109769618e-05
118238.1272	0.0181751395267	73885.90717	-0.0184375800963
128758.279	0.0327137731688	77147.77994	-0.0400361595328
138465.003	0.0439257708716	81209.47807	-0.0384200715356
149790.4212	0.0382946608647	86884.42937	-0.0218036818382
158686.4378	0.03278717848	90937.96601	-0.0172559167021
169201.1487	0.0146795171109	101458.1178	0.0110452656194
180518.4053	0.00896130643337	108740.8813	0.015091603059
191030.3956	-0.0103977791389	116831.6316	0.0114385504008
199929.1328	-0.0416308741212	124117.1156	-0.00672778635481
		132202.4249	-0.0105943711653
		141906.4284	-0.0228541129527
