Solomon2009_Fig3_pH7-4_8kDa_8uM.txt: 8 uM 8 kDa pH 7.4 X	Solomon2009_Fig3_pH7-4_8kDa_8uM.txt: 8 uM 8 kDa pH 7.4 Y
2278.481013	0.000828219015823
9113.924051	0.0126879318742
15189.87342	0.00907587365492
20886.07595	0.0125945569246
26582.27848	0.0236470062414
31139.24051	0.0324406420642
38734.17722	0.0222643399299
44430.37975	-0.0234514091948
50506.32911	-0.0117997883149
55822.78481	-0.00602872367768
61518.98734	-0.0458247074744
66835.44304	-0.0154459209174
71772.1519	-0.0156504578409
77468.35443	0.013950781257
85063.29114	0.00575260495621
89240.50633	0.0392095383528
94177.21519	0.0256023439933
97215.18987	0.0212982670474
102911.3924	0.00668447669922
107088.6076	-0.020093829917
111265.8228	0.000948010916853
117721.519	0.00449508325841
121518.9873	-0.00577891437778
126455.6962	0.0112982307445
131392.4051	-0.0237397626888
137848.1013	-0.00698658180211
140126.5823	-0.00175422916197
146582.2785	0.0113751464421
150759.4937	-0.00632343494549
156455.6962	-0.0226736765205
159493.6709	-0.0186085035471
164430.3797	0.0122808328019
170886.0759	0.0188113487914
176962.0253	-0.0260704980664
180379.7468	-0.0235674557497
