Time /s	8 uM 8 kDa pH 7
2196.486794	46.6422343
6516.668773	58.84493871
7597.624163	62.90913686
9768.633894	81.1727537
11402.80551	101.4583597
12494.67964	117.6848224
14128.85126	137.9704284
15763.02287	158.2560344
17930.39302	172.465563
19020.44737	186.6649817
20654.61898	206.9505876
21748.3129	225.2040945
22843.82661	245.4846455
25011.19676	259.6941741
28257.70251	275.9408568
30426.89246	292.1774295
32597.90219	310.4410464
34768.91192	328.7046632
38557.71515	349.0104891
40186.4274	363.2149627
43429.29357	375.4075572
47208.99785	385.5781625
50997.80109	405.8839884
58549.93049	418.1170226
62864.6531	424.2385947
66105.69948	434.4041451
71499.55769	442.5628712
76891.59611	448.6945533
80664.02123	450.7569822
86056.05965	456.8886642
91444.45849	458.9662581
96297.839	465.0928851
102226.7155	469.202578
109769.746	471.3003918
111387.5395	473.3426008
117318.2358	479.4793378
121090.6609	481.5417667
125938.5821	481.5872615
133481.6125	483.6850752
139406.8495	483.7406799
145872.5641	485.8283837
151260.963	487.9059775
157724.8578	487.9666372
164188.7527	488.0272969
171193.1252	490.1200556
177118.3622	490.1756603
181427.6254	490.2161001
188967.0163	488.2598256
193278.0993	490.3273095
199201.5165	488.3558701
206744.5469	490.4536838
212667.9641	488.4822444
