Time /s	4 uM 5 kDa pH 6.5
432.9865822	52.18855219
2934.418815	47.97979798
5082.466456	47.13804714
7592.341324	48.82154882
9389.416554	53.03030303
10114.2771	58.92255892
11556.76165	65.65656566
13361.07342	74.91582492
14803.55797	81.64983165
16248.4547	90.06734007
16974.52133	96.8013468
18775.21483	103.5353535
20226.14202	116.1616162
21311.6237	123.7373737
22398.31147	132.1548822
23483.79316	139.7306397
24925.07161	145.6228956
26725.76511	152.3569024
28169.45575	159.9326599
29970.14925	166.6666667
31054.42485	173.4006734
32856.32444	180.976431
35732.8509	188.5521886
37890.54726	194.4444444
41125.28268	202.020202
43282.97904	207.9124579
48668.17428	216.3299663
53330.92115	220.5387205
57274.83793	223.0639731
61935.17262	225.5892256
66595.50731	228.1144781
76270.76738	230.6397306
76987.18529	230.6397306
83434.94648	230.6397306
89526.9109	232.3232323
95977.08428	234.006734
104217.0963	234.8484848
108873.8128	234.8484848
114602.7439	233.1649832
119259.4603	233.1649832
123200.9649	234.006734
129648.7261	234.006734
133946.0274	233.1649832
139680.989	235.6902357
142190.8639	237.3737374
