Time /s	4 uM 8 kDa pH 6.8
0	41.010101
5797.627128	38.047138
10816.59488	36.969697
18351.39424	36.1616162
29030.45418	35.6228956
38454.77232	35.3535354
47881.206	35.3535354
55422.35316	35.3535354
64218.24216	35.0841751
72385.70256	34.8148148
83695.30704	34.5454545
88098.54156	35.0841751
96902.89416	35.8922559
104458.8528	37.7777778
110129.5246	39.6632997
116428.6253	41.5488215
122097.1813	43.1649832
127765.737	44.7811448
132179.5512	46.6666667
137852.3387	48.8215488
144162.0191	52.0538721
148575.8333	53.9393939
154250.7368	56.3636364
158668.7825	58.7878788
163719.4892	61.7508418
171910.2244	64.4444444
180096.728	66.5993266
187020.0256	67.9461279
195198.0653	69.023569
202754.0239	70.9090909
210305.7508	72.2558923
218485.9066	73.6026936
225404.9723	74.4107744
232956.6991	75.7575758
241132.6231	76.5656566
