Time /s	16 uM 8 kDa pH 7.4
4886.007926	66.24504601
13779.30409	72.93494324
19435.21193	72.99254383
25901.8271	76.35806408
32376.60375	89.62265735
38851.3804	102.8872506
47752.83805	119.4762209
52611.64103	132.7243568
59902.566	155.8962518
66382.78364	175.760227
73679.14959	205.531504
80167.52872	235.2945523
85842.48002	258.4499899
93946.83281	288.2294955
101237.7578	311.4013905
109333.9491	331.2818231
118238.1272	351.1704843
128758.279	371.0756029
138465.003	384.3731108
149790.4212	400.986767
158686.4378	410.9763552
169201.1487	424.2820918
180518.4053	430.996675
191030.3956	441.0027205
199929.1328	454.2919997
209627.6953	457.6904346
222566.3666	471.0208571
234716.0946	507.440888
240388.3254	527.2966346
249303.3855	560.3840599
255786.3236	583.5477262
266306.4754	603.4528448
276024.0814	629.9491167
285741.6874	656.4453886
293029.8919	676.3175925
303552.7642	699.5224021
309227.7155	722.6778397
318140.0551	752.465574
