Time /s	4 uM 8 kDa pH 7.4
1518.987342	7.894736842
8734.177215	7.894736842
13670.88608	7.894736842
21645.56962	15.78947368
27721.51899	39.47368421
34177.21519	55.26315789
37594.93671	71.05263158
42151.89873	78.94736842
48607.59494	86.84210526
51645.56962	86.84210526
57341.77215	86.84210526
62278.48101	94.73684211
66455.6962	94.73684211
71392.40506	102.6315789
75949.36709	102.6315789
82025.31646	126.3157895
86202.53165	134.2105263
90759.49367	110.5263158
96075.94937	118.4210526
102151.8987	126.3157895
108227.8481	134.2105263
112405.0633	134.2105263
120759.4937	126.3157895
129113.9241	126.3157895
131012.6582	126.3157895
140126.5823	134.2105263
148101.2658	118.4210526
155696.2025	118.4210526
161772.1519	126.3157895
167468.3544	126.3157895
173924.0506	118.4210526
178860.7595	118.4210526
