Time /s	16 uM 8 kDa pH 7.4 1% seeds
818.1818182	160.130719
3272.727273	205.8823529
8181.818182	251.6339869
14727.27273	274.5098039
22090.90909	343.1372549
28636.36364	457.5163399
36818.18182	617.6470588
41727.27273	777.7777778
47454.54545	983.6601307
54818.18182	1166.666667
62181.81818	1303.921569
72000	1418.300654
81000	1486.928105
92454.54545	1532.679739
105545.4545	1509.803922
114545.4545	1486.928105
126000	1486.928105
137454.5455	1418.300654
149727.2727	1395.424837
163636.3636	1372.54902
171000	1349.673203
176727.2727	1326.797386
