Time /s	16 uM 8 kDa pH 7.4 6.3% seeds
0	640.5228758
1636.363636	800.6535948
3272.727273	983.6601307
4909.090909	1143.79085
5727.272727	1303.921569
8181.818182	1486.928105
9000	1715.686275
9818.181818	1921.568627
10636.36364	2104.575163
13090.90909	2333.333333
13909.09091	2584.96732
16363.63636	2745.098039
18000	2745.098039
26181.81818	2584.96732
32727.27273	2516.339869
43363.63636	2470.588235
47454.54545	2470.588235
54000	2447.712418
63000	2424.836601
70363.63636	2401.960784
81818.18182	2333.333333
89181.81818	2241.830065
90000	2218.954248
99818.18182	2127.45098
110454.5455	2081.699346
120272.7273	2081.699346
130090.9091	2081.699346
145636.3636	2081.699346
162000	1990.196078
165272.7273	1967.320261
180818.1818	1852.941176
