Time /s	16 uM 8 kDa pH 7.4 no seeds
3272.727273	0
9818.181818	0
18000	22.87581699
26181.81818	68.62745098
33545.45455	68.62745098
44181.81818	114.379085
53181.81818	137.254902
61363.63636	183.0065359
69545.45455	251.6339869
81818.18182	366.0130719
87545.45455	434.6405229
99818.18182	503.2679739
107181.8182	549.0196078
122727.2727	571.8954248
131727.2727	571.8954248
139090.9091	571.8954248
150545.4545	549.0196078
162818.1818	617.6470588
172636.3636	617.6470588
180000	617.6470588
