Time /s	16 uM 5 kDa pH 6.5 1% seeds
1245.859074	65.35947712
5812.06912	65.35947712
12090.60793	65.35947712
17231.3248	72.16775599
22950.27905	92.59259259
28098.45704	113.0174292
32679.58934	140.2505447
37264.4522	174.291939
40711.49312	215.1416122
43606.4106	290.0326797
47098.21828	412.5816993
47105.67941	426.1982571
49437.28176	514.7058824
51183.1856	575.9803922
52925.35888	630.4466231
54686.18498	718.9542484
57002.86507	780.2287582
61028.14337	834.6949891
66180.05193	861.9281046
72477.24356	895.9694989
77050.91473	909.5860566
81620.85534	916.3943355
87895.66359	909.5860566
94741.2481	902.7777778
101590.5632	902.7777778
107861.6409	889.16122
113565.6728	882.3529412
119265.9743	868.7363834
129525.0246	841.503268
134087.5041	834.6949891
140933.0886	827.8867102
147207.8969	821.0784314
156911.0932	821.0784314
163764.1388	827.8867102
167759.5726	827.8867102
