Time /s	8 uM 8 kDa pH 6.5
2203.765955	54.75041072
3825.19904	60.84670795
4376.595476	75.04107165
6549.424997	95.33173259
8178.137243	109.5362062
9808.669278	125.767724
10900.54341	141.9941868
11994.23733	160.2476937
12547.45356	176.4691015
14179.80538	194.7276633
15278.95868	219.0623025
16372.6526	237.3158094
18006.82421	257.6014154
20176.01415	273.8379881
22348.84367	294.1286491
23435.25844	304.2739795
25067.61026	322.5325414
28314.11601	338.7792241
32095.64009	350.9768735
34799.84835	363.164413
39118.21054	373.3400733
45056.18602	387.5849867
49369.08884	391.6795147
56377.10097	397.8263617
62846.4552	403.9681537
70389.48566	406.0659674
77393.85821	408.1587261
84398.23076	410.2514849
89782.99002	408.2749905
96246.88487	408.3356502
102710.7797	408.3963099
108093.7192	404.3927714
115096.272	404.458486
122100.6445	406.5512448
127483.584	402.5477063
133408.8209	402.603311
136638.9486	400.6065967
