Time /s	8 uM 8 kDa pH 7
3803.361557	36.52217869
7037.128775	38.57955263
11888.6895	42.6791356
16192.49337	36.63844307
20505.39618	40.73297106
24816.47921	42.80045495
30204.87805	44.87804878
33451.3838	61.12473145
35618.75395	75.33426008
38861.62012	87.52685454
42104.48629	99.71944901
46965.14596	113.9542525
52368.10312	132.2481992
55068.67181	140.3816504
58850.19588	152.5792999
63172.19765	166.8090484
66951.90193	176.9796537
71273.9037	191.2094022
74514.95008	201.3749526
78291.01479	207.4914697
82070.71907	217.6620751
85309.94566	225.8005813
90168.78554	238.0083407
93406.19234	244.1198029
97724.55453	254.2954632
103120.2325	264.4812334
108514.0907	272.6399596
112830.6331	280.7885758
117147.1755	288.937192
123081.5114	299.1280172
127934.8919	305.2546443
133869.2279	315.4454695
140340.4019	323.6143056
144116.4666	329.7308227
150587.6406	337.8996588
157056.9948	344.0414508
162987.6911	350.1781878
169453.4058	352.2658916
175917.3006	352.3265512
180768.8614	356.4261342
187775.0537	360.5459371
192086.1367	362.613421
199627.3474	362.6841906
206089.4225	360.7178061
213097.4346	366.8646531
