Time /s	4 uM 8 kDa pH 6.5
1501.582994	47.97979798
4366.048545	47.13804714
7231.720187	47.13804714
9031.207598	53.03030303
10831.9011	59.76430976
11913.76451	64.81481481
12642.24333	73.23232323
14442.93683	79.96632997
15887.83356	88.38383838
18050.35429	97.64309764
19492.83884	104.3771044
22009.95025	111.1111111
24170.0588	118.6868687
25611.33725	124.5791246
26698.02503	132.996633
27420.47339	137.2053872
29224.78517	146.4646465
30307.85467	152.3569024
32466.75712	159.0909091
34266.24453	164.983165
37141.5649	171.7171717
39296.84909	175.9259259
42529.17232	181.8181818
45404.49269	188.5521886
49713.85497	196.1279461
50789.68792	196.969697
55094.22584	201.1784512
59397.55767	204.5454545
62980.85331	205.3872054
65850.14322	207.9124579
72658.52555	209.5959596
73374.94346	209.5959596
76597.61797	208.7542088
80179.70752	208.7542088
84121.21212	209.5959596
90566.56113	207.9124579
95583.89869	209.5959596
98806.57319	208.7542088
104179.7075	208.7542088
107763.0032	209.5959596
111342.6805	207.9124579
114565.355	207.0707071
117429.8206	206.2289562
122802.9549	206.2289562
128176.0893	206.2289562
131040.5548	205.3872054
134263.2293	204.5454545
137845.3189	204.5454545
143218.4532	204.5454545
