Time /s	16 uM 8 kDa pH 7.4
759.4936709	39.47368421
6835.443038	39.47368421
11772.1519	63.15789474
16329.11392	71.05263158
21645.56962	78.94736842
26962.02532	102.6315789
31518.98734	118.4210526
37215.18987	134.2105263
41772.1519	181.5789474
46329.11392	213.1578947
49746.83544	244.7368421
53544.3038	276.3157895
58101.26582	300
62658.22785	331.5789474
67594.93671	371.0526316
71392.40506	394.7368421
76708.86076	410.5263158
83544.3038	442.1052632
84683.5443	450
89620.25316	473.6842105
94936.70886	505.2631579
97594.93671	513.1578947
100632.9114	513.1578947
104810.1266	536.8421053
108987.3418	552.6315789
116202.5316	576.3157895
118481.0127	576.3157895
122278.481	584.2105263
127215.1899	584.2105263
131012.6582	592.1052632
134810.1266	607.8947368
137088.6076	607.8947368
141645.5696	607.8947368
145822.7848	615.7894737
150759.4937	615.7894737
158354.4304	623.6842105
161012.6582	623.6842105
166708.8608	631.5789474
170886.0759	639.4736842
175822.7848	647.3684211
178101.2658	647.3684211
