Time /s	16 uM 5 kDa pH 6.5 no seeds
667.621691	51.74291939
4663.055481	51.74291939
10374.5486	58.55119826
16656.81798	65.35947712
21801.26541	78.97603486
27523.95022	106.2091503
32672.12821	126.6339869
37827.76733	160.6753813
42416.36076	201.5250545
45874.59337	262.7995643
48762.04972	324.0740741
51082.46038	392.1568627
54540.69299	453.4313725
56849.91196	501.0893246
59159.13093	548.7472767
62602.44128	582.788671
67176.11245	596.4052288
77457.54618	610.0217865
84881.36807	616.8300654
90604.05288	644.0631808
96323.00713	664.4880174
103758.0207	691.7211329
109480.7055	718.9542484
113483.6004	732.5708061
121485.6597	752.9956427
127193.4223	752.9956427
134042.7373	752.9956427
140321.2762	752.9956427
144316.7099	752.9956427
148882.92	752.9956427
155161.4588	752.9956427
160298.4451	752.9956427
166002.4771	746.1873638
